Country,Date,Restriction,Title,Description,URL
CZ,2020-03-11,Down,Schools closed,Closing of schools and universities,https://www.mzcr.cz/mimoradne-opatreni-uzavreni-zakladnich-strednich-a-vysokych-skol-od-11-3-2020/
CZ,2020-03-14,Down,Businesses closed,Closing (most) businesses,https://www.idnes.cz/zpravy/domaci/koronavirus-vlada-restaurace-zakaz-prodejny-potraviny-obchody-tabak-drogerie-lekarny.A200314_031403_domaci_remy
CZ,2020-03-16,Down,Borders closed,Closing of borders,https://www.lidovky.cz/domov/opatreni-proti-koronaviru-omezi-restaurace-i-akce-nad-30-lidi-zavrou-se-i-zakladni-umelecke-skoly.A200313_072524_ln_domov_ele
CZ,2020-03-19,Down,Masks,Masks required,https://www.vlada.cz/cz/media-centrum/aktualne/vlada-rozhodla-o-povinnosti-nosit-mimo-domov-ochranne-prostredky-a-vyclenila-seniorum-cas-pro-nakupovani-potravin-180451/
CZ,2020-04-12,Special,Easter,Easter Sunday,
CZ,2020-04-20,Up,Small groups,Groups of 5 - 10 people,https://web.archive.org/web/20200625205131/https://koronavirus.mzcr.cz/uvolnovani-opatreni/
CZ,2020-04-27,Up,Businesses 1,Businesses 1 with conditions,https://web.archive.org/web/20200625205131/https://koronavirus.mzcr.cz/uvolnovani-opatreni/
CZ,2020-05-11,Up,Businesses 2,Businesses 2 with conditions,https://web.archive.org/web/20200625205131/https://koronavirus.mzcr.cz/uvolnovani-opatreni/
CZ,2020-05-25,Up,Businesses 3,Businesses 3 with conditions,https://web.archive.org/web/20200625205131/https://koronavirus.mzcr.cz/uvolnovani-opatreni/
CZ,2020-06-08,Up,Public events,Public events up to 500 people,https://web.archive.org/web/20200625205131/https://koronavirus.mzcr.cz/uvolnovani-opatreni/
CZ,2020-06-22,Up,Public events,Public events up to 1000 people,https://web.archive.org/web/20200625205131/https://koronavirus.mzcr.cz/uvolnovani-opatreni/
CZ,2020-07-01,Up,Masks,No mask required,https://web.archive.org/web/20200625205131/https://koronavirus.mzcr.cz/uvolnovani-opatreni/
CZ,2020-07-26,Special,Correction,Correction of statistics,https://www.seznamzpravy.cz/clanek/vlada-s-nami-nehraje-kolem-koronavirovych-statistik-rovnou-hru-rika-reditel-hlidace-statu-113800
