Statistikdatum,Antal_Män,Antal_Kvinnor
2020-02-04,,1
2020-02-26,1,
2020-02-27,,1
2020-02-28,3,5
2020-02-29,3,
2020-03-02,5,
2020-03-03,7,6
2020-03-04,18,12
2020-03-05,10,15
2020-03-06,39,20
2020-03-07,12,21
2020-03-08,18,28
2020-03-09,49,52
2020-03-10,64,34
2020-03-11,119,77
2020-03-12,89,62
2020-03-13,83,69
2020-03-14,43,28
2020-03-15,40,29
2020-03-16,47,36
2020-03-17,53,66
2020-03-18,68,77
2020-03-19,56,87
2020-03-20,87,93
2020-03-21,75,61
2020-03-22,74,44
2020-03-23,106,76
2020-03-24,116,114
2020-03-25,162,152
2020-03-26,154,132
2020-03-27,166,199
2020-03-28,155,145
2020-03-29,152,128
2020-03-30,213,203
2020-03-31,220,254
2020-04-01,226,260
2020-04-02,265,289
2020-04-03,277,324
2020-04-04,165,192
2020-04-05,169,171
2020-04-06,190,199
2020-04-07,331,408
2020-04-08,290,364
2020-04-09,290,355
2020-04-10,204,250
2020-04-11,188,207
2020-04-12,222,242
2020-04-13,220,217
2020-04-14,192,287
2020-04-15,241,363
2020-04-16,255,368
2020-04-17,274,414
2020-04-18,215,317
2020-04-19,183,205
2020-04-20,202,259
2020-04-21,262,445
2020-04-22,257,465
2020-04-23,264,494
2020-04-24,320,460
2020-04-25,182,291
2020-04-26,149,151
2020-04-27,222,341
2020-04-28,246,496
2020-04-29,264,535
2020-04-30,252,384
2020-05-01,188,344
2020-05-02,149,150
2020-05-03,131,130
2020-05-04,219,258
2020-05-05,222,435
2020-05-06,244,501
2020-05-07,247,538
2020-05-08,217,484
2020-05-09,184,325
2020-05-10,108,171
2020-05-11,165,290
2020-05-12,248,506
2020-05-13,213,485
2020-05-14,226,431
2020-05-15,222,466
2020-05-16,135,223
2020-05-17,102,157
2020-05-18,163,267
2020-05-19,205,461
2020-05-20,271,537
2020-05-21,216,394
2020-05-22,189,343
2020-05-23,153,250
2020-05-24,88,122
2020-05-25,165,326
2020-05-26,278,468
2020-05-27,273,527
2020-05-28,256,518
2020-05-29,270,503
2020-05-30,177,255
2020-05-31,99,166
2020-06-01,234,414
2020-06-02,347,553
2020-06-03,380,666
2020-06-04,429,610
2020-06-05,489,657
2020-06-06,305,475
2020-06-07,205,257
2020-06-08,315,362
2020-06-09,400,537
2020-06-10,621,816
2020-06-11,528,765
2020-06-12,561,768
2020-06-13,469,563
2020-06-14,206,212
2020-06-15,292,393
2020-06-16,491,718
2020-06-17,651,806
2020-06-18,634,860
2020-06-19,534,675
2020-06-20,327,371
2020-06-21,152,169
2020-06-22,377,423
2020-06-23,582,727
2020-06-24,746,952
2020-06-25,562,716
2020-06-26,550,654
2020-06-27,333,422
2020-06-28,200,215
2020-06-29,346,380
2020-06-30,368,436
2020-07-01,309,376
2020-07-02,320,367
2020-07-03,310,384
2020-07-04,179,185
2020-07-05,154,161
2020-07-06,114,137
2020-07-07,127,151
2020-07-08,251,282
2020-07-09,162,172
2020-07-10,165,204
2020-07-11,137,171
2020-07-12,45,61
2020-07-13,81,89
2020-07-14,130,182
2020-07-15,145,142
2020-07-16,131,137
2020-07-17,141,142
2020-07-18,86,105
2020-07-19,53,57
2020-07-20,56,75
2020-07-21,95,131
2020-07-22,142,155
2020-07-23,106,114
2020-07-24,125,137
2020-07-25,59,79
2020-07-26,17,25
2020-07-27,31,40
2020-07-28,132,151
2020-07-29,146,155
2020-07-30,149,153
2020-07-31,125,133
2020-08-01,176,127
2020-08-02,26,12
2020-08-03,76,89
2020-08-04,159,174
2020-08-05,217,208
2020-08-06,186,191
2020-08-07,211,169
2020-08-08,132,128
2020-08-09,38,35
2020-08-10,99,97
2020-08-11,211,206
2020-08-12,218,225
2020-08-13,171,192
2020-08-14,188,156
2020-08-15,123,103
2020-08-16,23,40
2020-08-17,83,91
2020-08-18,153,161
2020-08-19,179,172
2020-08-20,147,186
2020-08-21,151,147
2020-08-22,75,85
2020-08-23,30,27
2020-08-24,91,83
2020-08-25,95,127
2020-08-26,121,123
2020-08-27,97,104
2020-08-28,86,93
2020-08-29,68,63
2020-08-30,17,31
2020-08-31,85,77
2020-09-01,86,85
2020-09-02,97,116
2020-09-03,128,158
2020-09-04,138,124
2020-09-05,85,84
2020-09-06,33,34
2020-09-07,101,84
2020-09-08,117,119
2020-09-09,157,157
2020-09-10,122,132
2020-09-11,145,146
2020-09-12,107,99
2020-09-13,55,51
2020-09-14,107,113
2020-09-15,126,166
2020-09-16,153,177
2020-09-17,189,200
2020-09-18,232,205
2020-09-19,142,137
2020-09-20,71,62
2020-09-21,140,126
2020-09-22,221,217
2020-09-23,258,295
2020-09-24,284,256
2020-09-25,310,320
2020-09-26,187,138
2020-09-27,86,81
2020-09-28,200,178
2020-09-29,306,307
2020-09-30,333,356
2020-10-01,308,325
2020-10-02,368,344
2020-10-03,241,220
2020-10-04,81,75
2020-10-05,192,181
2020-10-06,366,420
2020-10-07,400,431
2020-10-08,427,406
2020-10-09,398,384
2020-10-10,254,255
2020-10-11,88,72
2020-10-12,335,302
2020-10-13,468,448
2020-10-14,491,477
2020-10-15,475,427
2020-10-16,593,585
2020-10-17,340,357
2020-10-18,168,153
2020-10-19,390,381
2020-10-20,625,662
2020-10-21,814,755
2020-10-22,779,887
2020-10-23,968,900
2020-10-24,702,775
2020-10-25,250,264
2020-10-26,529,540
2020-10-27,1184,1229
2020-10-28,1681,1709
2020-10-29,1621,1641
2020-10-30,2030,2025
2020-10-31,1503,1484
2020-11-01,650,647
2020-11-02,779,788
2020-11-03,1768,1839
2020-11-04,2200,2282
2020-11-05,2240,2503
2020-11-06,2178,2276
2020-11-07,2113,2336
2020-11-08,1056,1041
2020-11-09,1821,1903
2020-11-10,2106,2390
2020-11-11,2671,3036
2020-11-12,2646,2918
2020-11-13,3174,3556
2020-11-14,1700,1813
2020-11-15,790,790
2020-11-16,1233,1308
2020-11-17,2087,2370
2020-11-18,2215,2746
2020-11-19,3633,3975
2020-11-20,2547,2909
2020-11-21,2218,2274
2020-11-22,1112,1310
2020-11-23,1774,2102
2020-11-24,2611,3061
2020-11-25,2880,3183
2020-11-26,3193,3709
2020-11-27,3180,3279
2020-11-28,1784,2039
2020-11-29,1363,1390
2020-11-30,1710,1768
