"","Country","dates","I"
"1","CZ",2020-01-22,0
"2","CZ",2020-01-23,0
"3","CZ",2020-01-24,0
"4","CZ",2020-01-25,0
"5","CZ",2020-01-26,0
"6","CZ",2020-01-27,0
"7","CZ",2020-01-28,0
"8","CZ",2020-01-29,0
"9","CZ",2020-01-30,0
"10","CZ",2020-01-31,0
"11","CZ",2020-02-01,0
"12","CZ",2020-02-02,0
"13","CZ",2020-02-03,0
"14","CZ",2020-02-04,0
"15","CZ",2020-02-05,0
"16","CZ",2020-02-06,0
"17","CZ",2020-02-07,0
"18","CZ",2020-02-08,0
"19","CZ",2020-02-09,0
"20","CZ",2020-02-10,0
"21","CZ",2020-02-11,0
"22","CZ",2020-02-12,0
"23","CZ",2020-02-13,0
"24","CZ",2020-02-14,0
"25","CZ",2020-02-15,0
"26","CZ",2020-02-16,0
"27","CZ",2020-02-17,0
"28","CZ",2020-02-18,0
"29","CZ",2020-02-19,0
"30","CZ",2020-02-20,0
"31","CZ",2020-02-21,0
"32","CZ",2020-02-22,0
"33","CZ",2020-02-23,0
"34","CZ",2020-02-24,0
"35","CZ",2020-02-25,0
"36","CZ",2020-02-26,0
"37","CZ",2020-02-27,0
"38","CZ",2020-02-28,0
"39","CZ",2020-02-29,0
"40","CZ",2020-03-01,3
"41","CZ",2020-03-02,0
"42","CZ",2020-03-03,2
"43","CZ",2020-03-04,1
"44","CZ",2020-03-05,3
"45","CZ",2020-03-06,11
"46","CZ",2020-03-07,7
"47","CZ",2020-03-08,6
"48","CZ",2020-03-09,6
"49","CZ",2020-03-10,25
"50","CZ",2020-03-11,31
"51","CZ",2020-03-12,22
"52","CZ",2020-03-13,25
"53","CZ",2020-03-14,48
"54","CZ",2020-03-15,109
"55","CZ",2020-03-16,85
"56","CZ",2020-03-17,67
"57","CZ",2020-03-18,110
"58","CZ",2020-03-19,206
"59","CZ",2020-03-20,124
"60","CZ",2020-03-21,159
"61","CZ",2020-03-22,115
"62","CZ",2020-03-23,126
"63","CZ",2020-03-24,185
"64","CZ",2020-03-25,292
"65","CZ",2020-03-26,259
"66","CZ",2020-03-27,377
"67","CZ",2020-03-28,263
"68","CZ",2020-03-29,159
"69","CZ",2020-03-30,184
"70","CZ",2020-03-31,304
"71","CZ",2020-04-01,283
"72","CZ",2020-04-02,268
"73","CZ",2020-04-03,333
"74","CZ",2020-04-04,283
"75","CZ",2020-04-05,117
"76","CZ",2020-04-06,236
"77","CZ",2020-04-07,196
"78","CZ",2020-04-08,294
"79","CZ",2020-04-09,257
"80","CZ",2020-04-10,163
"81","CZ",2020-04-11,170
"82","CZ",2020-04-12,89
"83","CZ",2020-04-13,68
"84","CZ",2020-04-14,82
"85","CZ",2020-04-15,160
"86","CZ",2020-04-16,132
"87","CZ",2020-04-17,116
"88","CZ",2020-04-18,105
"89","CZ",2020-04-19,92
"90","CZ",2020-04-20,154
"91","CZ",2020-04-21,133
"92","CZ",2020-04-22,99
"93","CZ",2020-04-23,55
"94","CZ",2020-04-24,86
"95","CZ",2020-04-25,79
"96","CZ",2020-04-26,52
"97","CZ",2020-04-27,41
"98","CZ",2020-04-28,60
"99","CZ",2020-04-29,75
"100","CZ",2020-04-30,104
"101","CZ",2020-05-01,55
"102","CZ",2020-05-02,18
"103","CZ",2020-05-03,26
"104","CZ",2020-05-04,38
"105","CZ",2020-05-05,77
"106","CZ",2020-05-06,79
"107","CZ",2020-05-07,58
"108","CZ",2020-05-08,46
"109","CZ",2020-05-09,18
"110","CZ",2020-05-10,28
"111","CZ",2020-05-11,56
"112","CZ",2020-05-12,45
"113","CZ",2020-05-13,50
"114","CZ",2020-05-14,82
"115","CZ",2020-05-15,55
"116","CZ",2020-05-16,51
"117","CZ",2020-05-17,20
"118","CZ",2020-05-18,112
"119","CZ",2020-05-19,62
"120","CZ",2020-05-20,74
"121","CZ",2020-05-21,35
"122","CZ",2020-05-22,59
"123","CZ",2020-05-23,77
"124","CZ",2020-05-24,65
"125","CZ",2020-05-25,47
"126","CZ",2020-05-26,51
"127","CZ",2020-05-27,37
"128","CZ",2020-05-28,54
"129","CZ",2020-05-29,57
"130","CZ",2020-05-30,34
"131","CZ",2020-05-31,38
"132","CZ",2020-06-01,34
"133","CZ",2020-06-02,63
"134","CZ",2020-06-03,74
"135","CZ",2020-06-04,61
"136","CZ",2020-06-05,35
"137","CZ",2020-06-06,38
"138","CZ",2020-06-07,61
"139","CZ",2020-06-08,69
"140","CZ",2020-06-09,55
"141","CZ",2020-06-10,73
"142","CZ",2020-06-11,64
