iso_alpha_3,date,confirmed,tests,ratio
CZE,2020-01-22,0,0,1e-06
CZE,2020-01-23,0,0,0.999999
CZE,2020-01-24,0,0,0.999999
CZE,2020-01-25,0,0,0.999999
CZE,2020-01-26,0,0,0.999999
CZE,2020-01-27,0,20,0.05
CZE,2020-01-28,0,8,0.125
CZE,2020-01-29,0,5,0.2
CZE,2020-01-30,0,1,0.999999
CZE,2020-01-31,0,3,0.3333333333333333
CZE,2020-02-01,0,1,0.999999
CZE,2020-02-02,0,5,0.2
CZE,2020-02-03,0,5,0.2
CZE,2020-02-04,0,5,0.2
CZE,2020-02-05,0,0,0.999999
CZE,2020-02-06,0,3,0.3333333333333333
CZE,2020-02-07,0,6,0.16666666666666666
CZE,2020-02-08,0,0,0.999999
CZE,2020-02-09,0,2,0.5
CZE,2020-02-10,0,8,0.125
CZE,2020-02-11,0,2,0.5
CZE,2020-02-12,0,1,0.999999
CZE,2020-02-13,0,1,0.999999
CZE,2020-02-14,0,0,0.999999
CZE,2020-02-15,0,1,0.999999
CZE,2020-02-16,0,1,0.999999
CZE,2020-02-17,0,2,0.5
CZE,2020-02-18,0,0,0.999999
CZE,2020-02-19,0,2,0.5
CZE,2020-02-20,0,0,0.999999
CZE,2020-02-21,0,0,0.999999
CZE,2020-02-22,0,1,0.999999
CZE,2020-02-23,0,3,0.3333333333333333
CZE,2020-02-24,0,12,0.08333333333333333
CZE,2020-02-25,0,14,0.07142857142857142
CZE,2020-02-26,0,23,0.043478260869565216
CZE,2020-02-27,0,35,0.02857142857142857
CZE,2020-02-28,0,23,0.043478260869565216
CZE,2020-02-29,0,7,0.14285714285714285
CZE,2020-03-01,3,11,0.2727272727272727
CZE,2020-03-02,0,51,0.0196078431372549
CZE,2020-03-03,2,78,0.02564102564102564
CZE,2020-03-04,1,67,0.014925373134328358
CZE,2020-03-05,3,76,0.039473684210526314
CZE,2020-03-06,11,111,0.0990990990990991
CZE,2020-03-07,7,193,0.03626943005181347
CZE,2020-03-08,6,141,0.0425531914893617
CZE,2020-03-09,6,265,0.022641509433962263
CZE,2020-03-10,25,165,0.15151515151515152
CZE,2020-03-11,31,458,0.06768558951965066
CZE,2020-03-12,22,537,0.040968342644320296
CZE,2020-03-13,25,845,0.029585798816568046
CZE,2020-03-14,48,986,0.0486815415821501
CZE,2020-03-15,109,1028,0.10603112840466926
CZE,2020-03-16,85,1319,0.06444275966641395
CZE,2020-03-17,67,1294,0.0517774343122102
CZE,2020-03-18,110,1756,0.06264236902050115
CZE,2020-03-19,206,2259,0.09119079238601151
CZE,2020-03-20,124,2121,0.058462989156058465
CZE,2020-03-21,159,1882,0.0844845908607864
CZE,2020-03-22,115,1801,0.06385341476957246
CZE,2020-03-23,126,2291,0.05499781754692274
CZE,2020-03-24,185,3062,0.060418027433050296
CZE,2020-03-25,292,4107,0.07109812515217921
CZE,2020-03-26,259,4633,0.055903302395855815
CZE,2020-03-27,377,5359,0.07034894569882441
CZE,2020-03-28,263,4224,0.062263257575757576
CZE,2020-03-29,159,2848,0.055828651685393256
CZE,2020-03-30,184,5159,0.03566582671060283
CZE,2020-03-31,304,6661,0.045638792974027925
CZE,2020-04-01,283,6102,0.04637823664372337
CZE,2020-04-02,268,6673,0.04016184624606624
CZE,2020-04-03,333,7398,0.045012165450121655
CZE,2020-04-04,283,5837,0.04848381017646051
CZE,2020-04-05,117,4812,0.024314214463840397
CZE,2020-04-06,236,6435,0.03667443667443668
CZE,2020-04-07,196,8173,0.02398140217790285
CZE,2020-04-08,294,8469,0.03471484236627701
CZE,2020-04-09,257,8180,0.031418092909535456
CZE,2020-04-10,163,5702,0.028586460890915467
CZE,2020-04-11,170,4891,0.03475771825802494
CZE,2020-04-12,89,3250,0.027384615384615386
CZE,2020-04-13,68,3215,0.021150855365474338
CZE,2020-04-14,82,6173,0.013283654624979751
CZE,2020-04-15,160,8476,0.018876828692779613
CZE,2020-04-16,132,8381,0.015749910511872092
CZE,2020-04-17,116,8288,0.013996138996138996
CZE,2020-04-18,105,5605,0.01873327386262266
CZE,2020-04-19,92,4027,0.022845790911348397
CZE,2020-04-20,154,6567,0.023450586264656615
CZE,2020-04-21,133,8341,0.015945330296127564
CZE,2020-04-22,99,8818,0.011227035608981629
CZE,2020-04-23,55,7901,0.0069611441589672194
CZE,2020-04-24,86,7129,0.012063403001823538
CZE,2020-04-25,79,4446,0.017768780926675665
CZE,2020-04-26,52,3381,0.015380065069506064
CZE,2020-04-27,41,7754,0.005287593500128965
CZE,2020-04-28,60,8741,0.00686420318041414
CZE,2020-04-29,75,7322,0.010243102977328599
CZE,2020-04-30,104,7396,0.014061654948620876
