Avlidendatum,Antal_Avlidna_Män,Antal_Avlidna_Kvinnor
2020-03-11,,1
2020-03-13,,1
2020-03-14,1,
2020-03-15,1,1
2020-03-16,1,1
2020-03-17,1,
2020-03-18,4,2
2020-03-19,3,4
2020-03-20,5,4
2020-03-21,6,2
2020-03-22,6,5
2020-03-23,7,4
2020-03-24,10,11
2020-03-25,15,7
2020-03-26,17,14
2020-03-27,21,11
2020-03-28,21,14
2020-03-29,24,14
2020-03-30,25,20
2020-03-31,26,22
2020-04-01,40,13
2020-04-02,46,24
2020-04-03,45,35
2020-04-04,36,34
2020-04-05,53,32
2020-04-06,57,33
2020-04-07,35,49
2020-04-08,69,46
2020-04-09,41,45
2020-04-10,56,34
2020-04-11,50,52
2020-04-12,57,40
2020-04-13,45,39
2020-04-14,48,43
2020-04-15,57,58
2020-04-16,66,45
2020-04-17,52,31
2020-04-18,50,36
2020-04-19,54,33
2020-04-20,50,35
2020-04-21,25,37
2020-04-22,41,36
2020-04-23,47,39
2020-04-24,52,37
2020-04-25,39,34
2020-04-26,39,35
2020-04-27,45,29
2020-04-28,49,34
2020-04-29,53,30
2020-04-30,37,41
2020-05-01,38,40
2020-05-02,40,32
2020-05-03,44,31
2020-05-04,39,45
2020-05-05,45,27
2020-05-06,42,31
2020-05-07,41,39
2020-05-08,30,30
2020-05-09,34,34
2020-05-10,31,42
2020-05-11,32,33
2020-05-12,32,29
2020-05-13,24,26
2020-05-14,21,25
2020-05-15,33,25
2020-05-16,24,24
2020-05-17,22,30
2020-05-18,30,29
2020-05-19,22,19
2020-05-20,32,20
2020-05-21,29,24
2020-05-22,27,29
2020-05-23,33,22
2020-05-24,25,19
2020-05-25,22,20
2020-05-26,18,10
2020-05-27,14,24
2020-05-28,18,22
2020-05-29,17,23
2020-05-30,20,18
2020-05-31,26,20
2020-06-01,20,19
2020-06-02,24,12
2020-06-03,15,13
2020-06-04,22,21
2020-06-05,23,14
2020-06-06,16,13
2020-06-07,22,11
2020-06-08,22,16
2020-06-09,18,15
2020-06-10,19,20
2020-06-11,19,16
2020-06-12,16,13
2020-06-13,16,17
2020-06-14,11,16
2020-06-15,17,13
2020-06-16,14,14
2020-06-17,16,16
2020-06-18,16,13
2020-06-19,16,14
2020-06-20,18,11
2020-06-21,11,11
2020-06-22,9,11
2020-06-23,12,13
2020-06-24,12,10
2020-06-25,12,11
2020-06-26,6,5
2020-06-27,9,5
2020-06-28,12,11
2020-06-29,11,5
2020-06-30,14,6
2020-07-01,9,6
2020-07-02,7,8
2020-07-03,3,5
2020-07-04,8,7
2020-07-05,5,4
2020-07-06,10,5
2020-07-07,7,5
2020-07-08,3,7
2020-07-09,7,8
2020-07-10,6,8
2020-07-11,5,5
2020-07-12,3,5
2020-07-13,10,2
2020-07-14,4,4
2020-07-15,2,4
2020-07-16,4,2
2020-07-17,4,3
2020-07-18,6,5
2020-07-19,3,4
2020-07-20,2,4
2020-07-21,3,4
2020-07-22,4,2
2020-07-23,3,2
2020-07-24,2,1
2020-07-25,1,
2020-07-26,2,
2020-07-27,3,3
2020-07-28,1,3
2020-07-29,,1
2020-07-31,1,1
2020-08-01,2,
2020-08-02,3,
2020-08-03,1,3
2020-08-04,1,1
2020-08-05,,1
2020-08-06,2,2
2020-08-07,2,
2020-08-08,,1
2020-08-09,4,
2020-08-10,2,
2020-08-11,,4
2020-08-12,2,1
2020-08-13,4,1
2020-08-14,1,
2020-08-15,,1
2020-08-17,1,2
2020-08-18,3,1
2020-08-19,,1
2020-08-20,1,1
2020-08-21,5,
2020-08-22,,1
2020-08-23,2,1
2020-08-24,1,
2020-08-25,1,
2020-08-26,,2
2020-08-27,1,
2020-08-28,1,
2020-08-29,1,
2020-08-30,,3
2020-08-31,1,1
2020-09-01,1,2
2020-09-02,,2
2020-09-03,1,1
2020-09-06,,3
2020-09-07,,1
2020-09-08,,1
2020-09-09,2,
2020-09-10,,2
2020-09-11,3,1
2020-09-12,1,
2020-09-13,1,1
2020-09-14,2,
2020-09-15,1,
2020-09-16,2,
2020-09-17,1,
2020-09-18,,1
2020-09-19,1,
2020-09-20,2,2
2020-09-21,1,1
2020-09-22,,1
2020-09-24,1,
2020-09-25,2,2
2020-09-26,1,1
2020-09-27,1,
2020-09-28,1,
2020-09-29,1,1
2020-09-30,4,
2020-10-01,1,
2020-10-02,2,1
2020-10-03,2,1
2020-10-04,2,1
