region,population
CZ,10693939.0
IT,59641488.0
PL,37958138.0
SE,10327589.0
CZ010,1324277.0
CZ020,1385141.0
CZ031,644083.0
CZ032,589899.0
CZ041,294664.0
CZ042,820965.0
CZ051,443690.0
CZ052,551647.0
CZ053,522662.0
CZ063,509813.0
CZ064,1191989.0
CZ071,632015.0
CZ072,582555.0
CZ080,1200539.0
ITC11,2230946.0
ITC12,169390.0
ITC13,174170.0
ITC14,156320.0
ITC15,364980.0
ITC16,586113.0
ITC17,212010.0
ITC18,417288.0
ITC20,125034.0
ITC31,209382.0
ITC32,271832.0
ITC33,826194.0
ITC34,217418.0
ITC41,884876.0
ITC42,597642.0
ITC43,334961.0
ITC44,180425.0
ITC46,1108126.0
ITC47,1255437.0
ITC48,540376.0
ITC49,227412.0
ITC4A,355908.0
ITC4B,406919.0
ITC4C,3265327.0
ITC4D,870193.0
ITF11,294838.0
ITF12,303900.0
ITF13,316363.0
ITF14,378840.0
ITF21,83154.0
ITF22,217362.0
ITF31,913666.0
ITF32,272318.0
ITF33,3034410.0
ITF34,410369.0
ITF35,1081380.0
ITF43,563995.0
ITF44,385235.0
ITF45,782165.0
ITF46,606904.0
ITF47,1230205.0
ITF48,384801.0
ITF51,358401.0
ITF52,194853.0
ITF61,690503.0
ITF62,168581.0
ITF63,349344.0
ITF64,154715.0
ITF65,530967.0
ITG11,421256.0
ITG12,1222988.0
ITG13,613887.0
ITG14,423488.0
ITG15,255931.0
ITG16,160161.0
ITG17,1072634.0
ITG18,315601.0
ITG19,389344.0
ITG25,325288.0
ITG26,150913.0
ITG27,548917.0
ITG28,155764.0
ITG29,159119.0
ITG2A,55535.0
ITG2B,94988.0
ITG2C,121097.0
ITH10,532644.0
ITH20,545425.0
ITH31,924742.0
ITH32,855297.0
ITH33,201309.0
ITH34,883522.0
ITH35,848829.0
ITH36,933700.0
ITH37,231734.0
ITH41,310502.0
ITH42,526474.0
ITH43,137795.0
ITH44,231445.0
ITH51,286433.0
ITH52,454873.0
ITH53,529609.0
ITH54,707119.0
ITH55,1021501.0
ITH56,344510.0
ITH57,387970.0
ITH58,395306.0
ITH59,336798.0
ITI11,191685.0
ITI12,382543.0
ITI13,291697.0
ITI14,995517.0
ITI15,257073.0
ITI16,331877.0
ITI17,418122.0
ITI18,339172.0
ITI19,265179.0
ITI1A,219690.0
ITI21,646710.0
ITI22,223455.0
ITI31,356497.0
ITI32,467451.0
ITI33,310815.0
ITI34,206172.0
ITI35,171737.0
ITI41,309795.0
ITI42,152497.0
ITI43,4253314.0
ITI44,562592.0
ITI45,477502.0
PL2,7847416.0
PL21,3371956.0
PL22,4475460.0
PL4,6152541.0
PL41,3479525.0
PL42,1671605.0
PL43,1001411.0
PL5,3807042.0
PL51,2864809.0
PL52,942233.0
PL6,5766149.0
PL61,2050976.0
PL62,1399038.0
PL63,2316135.0
PL7,3661428.0
PL71,2442685.0
PL72,1218743.0
PL8,5322128.0
PL81,2088292.0
PL82,2084447.0
PL84,1149389.0
PL9,5401434.0
SE110,2377081.0
SE121,383713.0
SE122,297540.0
SE123,465495.0
SE124,304805.0
SE125,275845.0
SE211,363599.0
SE212,201469.0
SE213,245446.0
SE214,59686.0
SE221,159606.0
SE224,1377827.0
SE231,333848.0
SE232,1725881.0
SE311,282414.0
SE312,287966.0
SE313,287382.0
SE321,245347.0
SE322,130810.0
SE331,271736.0
SE332,250093.0
