sex,age,region,2020,2019,2018,2017,2016,2015,2014,age_start,age_end
F,10_14,CZ,282023.0,269794.0,255396.0,242584.0,234162.0,227575.0,223335.0,10,14
F,10_14,CZ0,282023.0,269794.0,255396.0,242584.0,234162.0,227575.0,223335.0,10,14
F,10_14,CZ01,31582.0,29531.0,27217.0,25168.0,23481.0,22163.0,21151.0,10,14
F,10_14,CZ010,31582.0,29531.0,27217.0,25168.0,23481.0,22163.0,21151.0,10,14
F,10_14,CZ02,40037.0,37862.0,35160.0,33043.0,31425.0,30037.0,28830.0,10,14
F,10_14,CZ020,40037.0,37862.0,35160.0,33043.0,31425.0,30037.0,28830.0,10,14
F,10_14,CZ03,32402.0,31025.0,29463.0,28031.0,27165.0,26595.0,26087.0,10,14
F,10_14,CZ031,17025.0,16418.0,15655.0,14951.0,14554.0,14238.0,13948.0,10,14
F,10_14,CZ032,15377.0,14607.0,13808.0,13080.0,12611.0,12357.0,12139.0,10,14
F,10_14,CZ04,31095.0,30043.0,28516.0,27150.0,26433.0,25980.0,25634.0,10,14
F,10_14,CZ041,7935.0,7543.0,7080.0,6728.0,6597.0,6579.0,6605.0,10,14
F,10_14,CZ042,23160.0,22500.0,21436.0,20422.0,19836.0,19401.0,19029.0,10,14
F,10_14,CZ05,40651.0,38890.0,36998.0,35144.0,34000.0,33450.0,33099.0,10,14
F,10_14,CZ051,12230.0,11685.0,10984.0,10479.0,10116.0,9986.0,9805.0,10,14
F,10_14,CZ052,14718.0,14044.0,13449.0,12755.0,12308.0,12065.0,11954.0,10,14
F,10_14,CZ053,13703.0,13161.0,12565.0,11910.0,11576.0,11399.0,11340.0,10,14
F,10_14,CZ06,43347.0,41680.0,39689.0,38066.0,36952.0,35919.0,35318.0,10,14
F,10_14,CZ063,13083.0,12748.0,12365.0,11947.0,11655.0,11447.0,11395.0,10,14
F,10_14,CZ064,30264.0,28932.0,27324.0,26119.0,25297.0,24472.0,23923.0,10,14
F,10_14,CZ07,31498.0,30406.0,29096.0,27932.0,27337.0,26592.0,26378.0,10,14
F,10_14,CZ071,16722.0,16101.0,15408.0,14670.0,14313.0,13917.0,13716.0,10,14
F,10_14,CZ072,14776.0,14305.0,13688.0,13262.0,13024.0,12675.0,12662.0,10,14
F,10_14,CZ08,31411.0,30357.0,29257.0,28050.0,27369.0,26839.0,26838.0,10,14
F,10_14,CZ080,31411.0,30357.0,29257.0,28050.0,27369.0,26839.0,26838.0,10,14
F,10_14,IT,1374611.0,1393040.0,1389291.0,1385602.0,1384866.0,1390055.0,1384936.0,10,14
F,10_14,ITC,363804.0,365115.0,360946.0,357579.0,354784.0,353970.0,350906.0,10,14
F,10_14,ITC1,93602.0,93936.0,93512.0,93084.0,92773.0,92958.0,92698.0,10,14
F,10_14,ITC11,48923.0,49275.0,49069.0,48842.0,48749.0,48663.0,48373.0,10,14
F,10_14,ITC12,3436.0,3435.0,3393.0,3402.0,3378.0,3378.0,3450.0,10,14
F,10_14,ITC13,3480.0,3438.0,3497.0,3519.0,3575.0,3639.0,3680.0,10,14
F,10_14,ITC14,3192.0,3212.0,3264.0,3217.0,3202.0,3234.0,3227.0,10,14
F,10_14,ITC15,8411.0,8450.0,8347.0,8169.0,7966.0,7910.0,7893.0,10,14
F,10_14,ITC16,13413.0,13252.0,13161.0,13057.0,13122.0,13294.0,13346.0,10,14
F,10_14,ITC17,4516.0,4565.0,4565.0,4689.0,4657.0,4626.0,4624.0,10,14
F,10_14,ITC18,8231.0,8309.0,8216.0,8189.0,8124.0,8214.0,8105.0,10,14
F,10_14,ITC2,2897.0,2890.0,2893.0,2857.0,2842.0,2878.0,2873.0,10,14
F,10_14,ITC20,2897.0,2890.0,2893.0,2857.0,2842.0,2878.0,2873.0,10,14
F,10_14,ITC3,30632.0,30879.0,30471.0,30588.0,30558.0,30601.0,30447.0,10,14
F,10_14,ITC31,4203.0,4256.0,4197.0,4115.0,4162.0,4145.0,4227.0,10,14
F,10_14,ITC32,5401.0,5483.0,5487.0,5509.0,5497.0,5548.0,5453.0,10,14
F,10_14,ITC33,16697.0,16796.0,16548.0,16685.0,16648.0,16633.0,16574.0,10,14
F,10_14,ITC34,4331.0,4344.0,4239.0,4279.0,4251.0,4275.0,4193.0,10,14
F,10_14,ITC4,236673.0,237410.0,234070.0,231050.0,228611.0,227533.0,224888.0,10,14
F,10_14,ITC41,20632.0,20746.0,20579.0,20395.0,20059.0,19966.0,19777.0,10,14
F,10_14,ITC42,13956.0,14033.0,13834.0,13686.0,13549.0,13486.0,13449.0,10,14
F,10_14,ITC43,8032.0,8074.0,8041.0,8106.0,8056.0,8087.0,8099.0,10,14
F,10_14,ITC44,3980.0,4062.0,4121.0,4150.0,4136.0,4210.0,4232.0,10,14
F,10_14,ITC46,28205.0,28293.0,28035.0,27823.0,27677.0,27741.0,27489.0,10,14
F,10_14,ITC47,31321.0,31541.0,31198.0,30773.0,30524.0,30433.0,30164.0,10,14
F,10_14,ITC48,11665.0,11705.0,11338.0,11188.0,11121.0,11037.0,10963.0,10,14
F,10_14,ITC49,5386.0,5453.0,5416.0,5352.0,5297.0,5241.0,5155.0,10,14
F,10_14,ITC4A,7828.0,7878.0,7634.0,7547.0,7635.0,7686.0,7702.0,10,14
F,10_14,ITC4B,9311.0,9417.0,9199.0,8989.0,8894.0,8846.0,8735.0,10,14
F,10_14,ITC4C,75348.0,75220.0,73870.0,72529.0,71392.0,70665.0,69259.0,10,14
F,10_14,ITC4D,21009.0,20988.0,20805.0,20512.0,20271.0,20135.0,19864.0,10,14
F,10_14,ITF,327557.0,336749.0,341548.0,345149.0,350167.0,355700.0,357948.0,10,14
F,10_14,ITF1,27893.0,28197.0,28026.0,27856.0,28035.0,28054.0,28077.0,10,14
F,10_14,ITF11,5901.0,5945.0,5908.0,5880.0,5964.0,5946.0,6011.0,10,14
F,10_14,ITF12,6633.0,6734.0,6709.0,6731.0,6751.0,6738.0,6688.0,10,14
F,10_14,ITF13,7208.0,7277.0,7252.0,7184.0,7233.0,7209.0,7143.0,10,14
F,10_14,ITF14,8151.0,8241.0,8157.0,8061.0,8087.0,8161.0,8235.0,10,14
F,10_14,ITF2,5888.0,6068.0,6124.0,6223.0,6330.0,6513.0,6672.0,10,14
F,10_14,ITF21,1578.0,1613.0,1599.0,1617.0,1636.0,1623.0,1638.0,10,14
F,10_14,ITF22,4310.0,4455.0,4525.0,4606.0,4694.0,4890.0,5034.0,10,14
F,10_14,ITF3,146961.0,150679.0,153331.0,154803.0,157047.0,159327.0,160507.0,10,14
F,10_14,ITF31,24197.0,24711.0,25062.0,25355.0,25683.0,26015.0,26031.0,10,14
