,date,week,region,tests,confirmed,deaths,recovered
0,2020-03-01,8,CZ010,,2.0,,
1,2020-03-01,8,CZ042,,1.0,,
2,2020-03-03,9,CZ042,,1.0,,
3,2020-03-05,9,CZ042,,3.0,,
4,2020-03-06,9,CZ010,,8.0,,
5,2020-03-06,9,CZ042,,3.0,,
6,2020-03-07,9,CZ010,,4.0,,
7,2020-03-07,9,CZ042,,2.0,,
8,2020-03-07,9,CZ072,,1.0,,
9,2020-03-08,9,CZ020,,2.0,,
10,2020-03-08,9,CZ042,,2.0,,
11,2020-03-08,9,CZ052,,1.0,,
12,2020-03-08,9,CZ071,,1.0,,
13,2020-03-09,10,CZ010,,4.0,,
14,2020-03-09,10,CZ052,,2.0,,
15,2020-03-10,10,CZ010,,12.0,,
16,2020-03-10,10,CZ032,,1.0,,
17,2020-03-10,10,CZ041,,1.0,,
18,2020-03-10,10,CZ042,,4.0,,
19,2020-03-10,10,CZ053,,1.0,,
20,2020-03-10,10,CZ063,,1.0,,
21,2020-03-10,10,CZ071,,3.0,,
22,2020-03-10,10,CZ072,,2.0,,
23,2020-03-11,10,CZ010,,6.0,,
24,2020-03-11,10,CZ020,,14.0,,
25,2020-03-11,10,CZ031,,1.0,,
26,2020-03-11,10,CZ032,,1.0,,
27,2020-03-11,10,CZ051,,1.0,,
28,2020-03-11,10,CZ053,,1.0,,
29,2020-03-11,10,CZ064,,3.0,,
30,2020-03-11,10,CZ071,,1.0,,
31,2020-03-11,10,CZ072,,1.0,,
32,2020-03-11,10,CZ080,,2.0,,
33,2020-03-12,10,CZ010,,12.0,,
34,2020-03-12,10,CZ020,,3.0,,
35,2020-03-12,10,CZ052,,3.0,,
36,2020-03-12,10,CZ063,,1.0,,
37,2020-03-12,10,CZ072,,1.0,,
38,2020-03-12,10,CZ080,,2.0,,
39,2020-03-13,10,CZ010,,7.0,,
40,2020-03-13,10,CZ020,,1.0,,
41,2020-03-13,10,CZ031,,1.0,,
