"","mu","min","max","w"
"1",19.3,18.8,19.7,2.53
"2",12.3,11.9,12.6,2.53
"3",14.3,12.9,15.6,2.48
"4",8.3,6.9,9.8,2.48
"5",7.5,5.6,9.4,2.44
"6",18.2,15.3,21.1,2.34
"7",10.5,9.4,11.6,2.5
"8",11.7,10.1,13.2,2.47
"9",15.7,14.2,17.2,2.47
"10",22.8,20.4,25.1,2.4
"11",17.3,16.1,18.5,2.49
"12",6,3.6,8.4,2.39
"13",13.3,2.8,23.9,1.18
"14",13.3,9.2,17.3,2.17
"15",31.7,27.9,35.4,2.21
"16",20.3,19.6,21.1,2.52
"17",25,16.2,33.8,1.41
"18",8.7,7.8,9.5,2.52
"19",16.5,14,19,2.38
"20",22,20.9,23.1,2.5
"21",18.3,16.9,19.8,2.48
"22",28,26.6,29.4,2.48
"23",21,19.4,22.6,2.47
"24",12,11.3,12.7,2.52
"25",7.1,4.3,9.8,2.35
"26",27.3,21.2,33.5,1.83
"27",19.7,17.9,21.5,2.45
"28",17.3,15.8,18.9,2.47
"29",9.5,7.8,11.2,2.46
"30",30,26.5,33.5,2.26
"31",15.8,13.9,17.6,2.44
"32",15.5,11.2,19.8,2.12
"33",24.3,22.4,26.2,2.44
"34",16.1,14.9,17.3,2.5
"35",12,9.1,14.9,2.33
"36",17.9,15.6,20.2,2.4
"37",11,10.8,11.2,2.53
"38",9.5,7.1,11.9,2.39
"39",53.9,50.7,57.1,2.29
"40",16.3,7.8,24.9,1.45
"41",13.3,8.6,17.9,2.08
"42",16,13.1,18.9,2.33
"43",13.8,12.6,15.1,2.49
