"","dates","a","c","b","d","S","E","I","R","D","T","Tcum"
"1","2020-03-01",0.234551183006261,1,0.000382525540328856,0.000714116164017469,0.695391520830795,0.249930482070215,0.0546471140440671,1.07724858762307e-05,2.01105690465863e-05,11,211
"2","2020-03-02",0.234551183006261,1,0.000382525540328856,0.000714116164017469,0.682727379809317,0.216213177782571,0.100942626664609,4.07471330204234e-05,7.60686104834691e-05,51,262
"3","2020-03-03",0.234551183006261,1,0.000382525540328856,0.000714116164017469,0.663515793971261,0.194521517171608,0.141712420737559,8.72973800714702e-05,0.000162970739501,78,340
"4","2020-03-04",0.234551183006261,1,0.000382525540328856,0.000714116164017469,0.638988865201578,0.181562646583853,0.179022114825961,0.000148725614038359,0.000277647774569274,67,407
"5","2020-03-05",0.234551183006261,1,0.000382525540328856,0.000714116164017469,0.610162926632452,0.174835200919741,0.214359673698605,0.00022400882855681,0.00041818992064559,76,483
"6","2020-03-06",0.234551183006261,1,0.000382525540328856,0.000714116164017469,0.577900521664944,0.172429737756592,0.248773549257381,0.00031260535503665,0.00058358596604602,111,594
"7","2020-03-07",0.234551183006261,1,0.000382525540328856,0.000714116164017469,0.542963265138414,0.172873711651464,0.282975267960051,0.000414307350350928,0.000773447899720613,193,787
"8","2020-03-08",0.234551183006261,1,0.000382525540328856,0.000714116164017469,0.506051395325043,0.175016643698685,0.31741503519493,0.000529127108559701,0.000987798672782646,141,928
"9","2020-03-09",0.234551183006261,1,0.000382525540328856,0.000714116164017469,0.467829231641023,0.177948876106851,0.352337777350847,0.000657208336868354,0.00122690656441203,265,1193
"10","2020-03-10",0.234551183006261,1,0.000382525540328856,0.000714116164017469,0.4289375046944,0.180946928936122,0.387825655837211,0.00079875611167158,0.00149115442059645,165,1358
"11","2020-03-11",0.234551183006261,1,0.000382525540328856,0.000714116164017469,0.389994498018461,0.183438867831012,0.423831717027203,0.000953981274109772,0.0017809358492144,458,1816
"12","2020-03-12",0.234551183006261,1,0.000382525540328856,0.000714116164017469,0.351588557562012,0.184983731133263,0.46020808141361,0.00112305656339432,0.00209657332772166,537,2353
"13","2020-03-13",0.234551183006261,1,0.000382525540328856,0.000714116164017469,0.314264924855929,0.185259784301787,0.496730952772982,0.00130608286868656,0.00243825520061627,845,3198
"14","2020-03-14",0.234551183006261,1,0.000382525540328856,0.000714116164017469,0.27851002214633,0.184057165616586,0.533123757758407,0.00150306466207685,0.00280598981660093,986,4184
"15","2020-03-15",0.234551183006261,1,0.000382525540328856,0.000714116164017469,0.2447362041109,0.181271399006709,0.569078927169702,0.00171389401778775,0.003199575694901,1028,5212
"16","2020-03-15",0.00489169621141627,1,0.00731435088082931,0.00955005693947896,0.244041383192466,0.149042603954932,0.592200795709516,0.00596506137065792,0.00875015577242675,1028,5212
"17","2020-03-16",0.00489169621141627,1,0.00731435088082931,0.00955005693947896,0.243324814554052,0.122675495105975,0.609146659206221,0.0103619859162693,0.0144910452174817,1319,6531
"18","2020-03-17",0.00489169621141627,1,0.00731435088082931,0.00955005693947896,0.242593321537449,0.101101366595838,0.621072479979155,0.0148638638117399,0.020368968075819,1294,7825
"19","2020-03-18",0.00489169621141627,1,0.00731435088082931,0.00955005693947896,0.241852412917155,0.0834464235082721,0.628922970400547,0.0194375478352877,0.0263406453387389,1756,9581
"20","2020-03-19",0.00489169621141627,1,0.00731435088082931,0.00955005693947896,0.241106524419115,0.0689962323344043,0.633470127691193,0.0240561478851201,0.0323709676701689,2259,11840
"21","2020-03-20",0.00489169621141627,1,0.00731435088082931,0.00955005693947896,0.240359216748917,0.0571666547634584,0.635344740261939,0.0286978867690277,0.0384315014566593,2121,13961
"22","2020-03-21",0.00489169621141627,1,0.00731435088082931,0.00955005693947896,0.239613337722166,0.0474800827145358,0.635062147457771,0.0333451647212526,0.0444992673842764,1882,15843
"23","2020-03-22",0.00489169621141627,1,0.00731435088082931,0.00955005693947896,0.238871154846146,0.0395460079203929,0.633043300823102,0.037983794575685,0.0505557418346755,1801,17644
"24","2020-03-23",0.00489169621141627,1,0.00731435088082931,0.00955005693947896,0.238134463632705,0.0330451355716739,0.629631983868372,0.0426023764683001,0.0565860404589492,2291,19935
"25","2020-03-24",0.00489169621141627,1,0.00731435088082931,0.00955005693947896,0.237404676014105,0.0277163956426776,0.625108891023263,0.0471917866192329,0.0625782507007228,3062,22997
"26","2020-03-25",0.00489169621141627,1,0.00731435088082931,0.00955005693947896,0.236682892469215,0.0233463233791017,0.619703138663928,0.0517447593869038,0.0685228861008533,4107,27104
"27","2020-03-26",0.00489169621141627,1,0.00731435088082931,0.00955005693947896,0.235969960828628,0.019760376809795,0.613601676608137,0.0562555455819359,0.0744124401715064,4633,31737
"28","2020-03-27",0.00489169621141627,1,0.00731435088082931,0.00955005693947896,0.235266524196235,0.0168158379576358,0.606956983035534,0.0607196331316702,0.0802410216789262,5359,37096
"29","2020-03-28",0.00489169621141627,1,0.00731435088082931,0.00955005693947896,0.234573059985352,0.0143960088686541,0.599893355936128,0.0651335187231279,0.086004056486738,4224,41320
"30","2020-03-29",0.00489169621141627,1,0.00731435088082931,0.00955005693947896,0.233889911704941,0.0124054662712427,0.592512057077368,0.0694945211265412,0.0916980438199077,2848,44168
"31","2020-03-29",0.00932826421912308,1,0.0326747682701194,0.0098577829846181,0.232625128498529,0.0113022305549202,0.570157023238449,0.0884875040557506,0.0974281136523514,2848,44168
"32","2020-03-30",0.00932826421912308,1,0.0326747682701194,0.0098577829846181,0.231414649325762,0.0103497952342388,0.548532170112861,0.106761973178476,0.102941412148662,5159,49327
