"","V1","V2","V3","V4","V5","V6"
"1",5.17566785093e-06,6.30838502901723e-06,3.31431934953406e-06,1.79438875264332e-05,2.47552101494061e-05,0.000178080676904342
"2",8.15908743145495e-06,6.69048207047327e-06,4.91215291626055e-06,2.20128777589533e-05,6.05998893633241e-05,0.000171656710966334
"3",4.1837461972761e-06,1.57443392697436e-06,1.72240329929537e-05,1.09877673437405e-05,5.44252795910456e-05,0.000130500413776422
"4",4.90309737683763e-06,1.53223643317175e-06,7.72932989066056e-06,2.09771758026609e-05,1.06088021861469e-05,0.000111819599938453
"5",7.93332981802217e-06,1.07121475713647e-05,7.6142225267685e-06,2.59217245290785e-06,3.43321253011067e-05,0.000194184974396017
"6",4.81849181537723e-06,6.95315956829553e-06,1.75838956438463e-05,1.05060222274375e-05,4.30380758582966e-05,0.000102068557709542
"7",3.80619006731758e-06,2.09510530390349e-06,1.08661393900913e-05,1.99528351039709e-05,2.19954837521146e-05,7.72189990593195e-05
"8",3.31285673029603e-06,3.39997025866992e-06,5.25033795308574e-06,1.87087605589592e-05,1.41568298545228e-05,7.96129869987261e-05
"9",1.22818008442309e-06,3.56199811244386e-06,9.66542471797888e-06,8.66721303895062e-06,1.42772035236986e-05,5.28259754774332e-06
"10",7.13726161080535e-06,3.30461803622899e-06,1.20268530000529e-05,1.96177042144399e-05,6.00533567800496e-05,2.82025333032649e-05
"11",2.96072356273578e-06,3.70085906692703e-06,6.312323396721e-06,2.2305656201265e-05,4.26908931754853e-05,4.7931881708255e-05
"12",5.63174504186001e-06,6.64041678027654e-06,1.17129952539967e-05,1.08666034706865e-05,1.84731766907304e-05,7.94980355348974e-05
"13",1.95616726756329e-06,3.55711727000607e-06,6.83316377103894e-06,4.80219292003798e-06,6.39200689242608e-05,0.000275906171805369
"14",1.19892190921983e-06,3.64703872803799e-06,3.85554763934308e-06,1.93391771110589e-05,4.44826847849075e-05,5.64302228355171e-05
"15",2.86816145597221e-06,3.5415693056844e-06,1.11388613607168e-05,1.01096595270142e-05,3.26568395671046e-05,0.000137360969938644
"16",2.52936602024203e-06,1.13245203856002e-05,5.31221976806425e-06,2.1499157686381e-05,4.84737436241273e-05,9.38459375171148e-05
"17",5.53947870496806e-06,3.06287068471703e-06,2.52577064704184e-05,6.58676918996826e-06,3.0404116969135e-05,0.000157784980580797
"18",4.59504910368276e-06,2.55354570632693e-06,1.82350357149383e-05,1.5171930792669e-05,3.58341687707548e-05,4.18633914928191e-05
"19",2.54981801423554e-06,3.61090797571853e-06,1.78254341672673e-05,2.08521423055967e-05,2.80600524278903e-05,0.000123628561906698
"20",8.65564488611088e-06,1.23210258050947e-06,9.75882226141258e-06,3.07785772498126e-05,6.89434179918077e-05,8.71376286847972e-05
"21",8.56934748586562e-06,3.3126087951112e-06,3.861496409852e-06,2.29335030534956e-05,1.93587949457268e-05,0.000116407800121865
"22",2.76240419293229e-06,4.23413117640794e-06,1.06085460260024e-05,1.62936478454158e-05,5.65893513717388e-05,5.82389822828977e-05
"23",2.14733639293405e-06,3.74259581665099e-06,9.72723138702716e-06,9.18735959851051e-06,2.34334958676874e-05,0.000116091664281892
"24",4.74007769023475e-06,5.7096779446256e-06,1.30077324595563e-05,1.58646110264656e-05,2.38657030763456e-05,0.000127567850572809
"25",7.83518764203211e-06,4.09547107912951e-06,9.78426598172733e-06,1.31278613745955e-05,2.38211391113031e-05,0.00023730033929515
"26",4.3409514755209e-06,9.68428539637918e-06,1.10104617416144e-05,9.49112443058623e-06,2.6695059293181e-05,9.268845417693e-05
"27",9.62115565606616e-06,2.18239401104725e-06,7.68970479074841e-06,1.29328821554814e-05,2.13888122463249e-05,0.000107758858949556
"28",5.29875400144861e-06,5.14717522356471e-06,1.566567311828e-05,1.75898191694928e-05,8.1514082300973e-05,6.76533525381793e-05
"29",2.50688347944505e-06,1.60909014288851e-06,9.18510916749195e-06,1.47814705613575e-05,1.62340626713549e-05,0.000170054221781325
"30",2.70347926497756e-06,1.24621316605852e-06,1.46777379165408e-05,3.9881474692436e-06,3.03203804368603e-05,0.000178448700971374
"31",3.83902751508028e-06,4.65473754532795e-06,4.67084591951182e-06,1.66653081393844e-05,7.04661214134179e-05,4.16253646370756e-05
"32",3.38895513438996e-06,3.11248784482835e-06,5.46339552445886e-06,1.36876732696098e-05,2.80631215369284e-05,0.000128742641450863
"33",2.55381142184198e-06,4.87324404991074e-06,5.81897500043044e-06,1.16416222030895e-05,3.4932433799837e-05,9.73074125037831e-05
"34",2.03497700980332e-06,1.87010851405009e-06,7.30319262622441e-06,1.47632993155284e-05,3.35110402006946e-05,0.000101434962751638
"35",1.98865272949218e-06,9.29281163321275e-06,7.1567550032619e-06,1.92551318417738e-05,5.39207086263595e-05,0.000107457520434475
"36",4.19401400921912e-06,3.58623802910858e-06,1.42766441083723e-05,2.46105609734713e-05,4.79451468873293e-05,0.000115289938469868
"37",2.34296272628223e-06,3.55093247128485e-06,1.64749520811108e-06,2.41675139507888e-05,3.81504894901943e-05,0.000150486730266895
"38",3.72408057724359e-06,2.19594668599671e-06,3.47989682976803e-06,2.51177663392649e-05,1.44381399658995e-05,0.000486270761193235
"39",3.32643960648906e-06,1.20848081676524e-05,1.57273525524418e-05,4.11255552198455e-06,3.43330035355246e-05,4.52192413319389e-05
"40",5.24084865071675e-06,6.14912603407277e-06,6.67529206458145e-06,7.72959065789364e-06,3.64531091798703e-05,0.000174206657222501
"41",2.83466149061155e-06,3.76837590232888e-06,1.2494102993948e-05,1.37995334176027e-05,3.6554815284771e-05,0.000102071220918926
"42",5.4809490569437e-06,6.08071973695194e-06,1.86942542824422e-05,3.95479741477778e-05,2.27064114959011e-05,0.000174039902107859
"43",1.43901579311583e-06,1.3752329444229e-06,2.39050567488252e-06,2.41925827267442e-05,1.83827446269505e-05,6.73715149481392e-05
"44",3.50037842911708e-06,6.0965562425392e-06,9.2655284152693e-06,1.01727227014819e-05,3.15427236487412e-05,0.000167528636113022
"45",4.48343103510695e-06,4.4934333122434e-06,1.54454648660619e-06,1.14977643781904e-05,5.49928517119355e-05,0.00015143809597065
"46",1.11362134796134e-05,3.39795312008129e-06,7.30384417550203e-06,2.36465461967388e-05,2.71031721843029e-05,0.00021780750842652
"47",2.89107416378574e-06,1.04985444193594e-05,8.83692795508976e-06,6.25316747707919e-06,5.77774354493332e-05,0.000176443222960486
"48",3.29320012756142e-06,2.22274944159576e-06,3.48285203126653e-06,2.50688625962935e-05,2.56032543925685e-05,9.74629196366852e-05
"49",2.91219181317448e-06,9.63730052669226e-07,8.82940979496851e-06,4.01202149527304e-06,6.95103859684133e-05,0.000181150143293639
"50",2.21734311651673e-06,3.60598781297576e-06,5.14820215764564e-06,1.19549170822166e-05,6.53795282386311e-05,5.64656109695764e-05
"51",3.34516895045895e-06,4.48109396621543e-06,5.15803120979343e-06,2.73037382048266e-05,1.17993390788813e-05,0.000188169739642458
"52",2.45622597370032e-06,3.56770259468013e-06,9.85059065046441e-06,1.08153195487793e-05,1.07399136417252e-05,0.000239059383050339
"53",7.74006379217087e-07,7.09848624899243e-06,4.50942730030696e-06,2.34489797399156e-05,6.81285867364429e-05,4.24730924355105e-05
"54",2.64314332632809e-06,2.63059285353729e-06,3.38100461271492e-06,4.05875227150071e-06,3.89088384980185e-05,0.000165527789116263
"55",4.99960457195715e-06,5.83899922109224e-06,3.74153482539325e-06,2.74159918033564e-05,4.96563539966687e-05,2.53741262946429e-05
"56",2.97426710182388e-06,1.2032018643402e-06,5.41365070921489e-06,1.95832157193157e-05,1.66214239659913e-05,0.000143994512815316
"57",2.61527094141732e-06,5.73866808904559e-06,1.58378044533237e-05,8.04062040284975e-06,2.57272119436778e-05,6.34472042197974e-06
"58",1.65273865372566e-06,2.81152650462567e-06,1.34890371890144e-05,9.87736120655138e-06,1.09328952371195e-05,5.03161685701282e-05
"59",2.78241282559623e-06,6.49048069900225e-06,1.53063704047369e-05,1.15107405312919e-05,3.71564220208906e-05,6.90183147346315e-05
"60",3.99599459997943e-06,3.03029987822381e-06,1.03581498879348e-05,2.57010762288474e-05,4.68823302954479e-05,0.000147125114113011
"61",6.5064898472876e-06,7.78151612573135e-06,8.07885324156258e-06,2.61060377875761e-05,1.19786632460983e-05,0.000142259605233884
"62",3.28944129108836e-06,5.3931674807219e-06,2.48435911700071e-06,1.22576672344055e-05,2.44735839925049e-05,0.000112855127398231
"63",3.29451712296377e-06,2.9873310279857e-06,4.74301145454203e-06,2.68687346600313e-06,3.90435765493023e-05,8.56704430142795e-05
"64",6.75881804552586e-06,4.34565527654673e-06,7.57404260515115e-06,6.71052306291974e-06,2.07021650103129e-05,0.000165787468577401
"65",7.26705555878605e-06,8.14137887465068e-07,1.06928270476313e-05,6.63594588539456e-06,5.55849420196223e-05,5.88107721208608e-05
"66",7.59829631770066e-07,2.73624356675316e-06,3.71121801443985e-06,1.00327221660472e-05,9.10477849400637e-05,2.64989840193684e-05
"67",6.82713476125088e-06,6.1994907577837e-06,1.11005286844086e-05,3.25074774086175e-05,4.53532252328612e-05,7.61011018153215e-05
"68",2.89660123264315e-06,3.74012199008876e-06,6.48573318384666e-06,6.92656280138993e-06,4.08065629663218e-05,8.82418990235814e-05
"69",5.300009891299e-06,2.60825206669051e-06,1.39114198385656e-05,7.67751730114186e-06,2.16563922145522e-05,0.000254865090124041
"70",1.13352829119049e-06,8.82877802025298e-06,1.39711297733851e-05,1.49689905961318e-05,6.39241359944603e-05,0.000122198052223047
"71",2.46911761988997e-06,8.35472585142618e-06,2.11585412139158e-06,1.38716694619946e-05,2.11244237183811e-05,0.000164897081970125
"72",3.19314466931519e-06,1.30321990056521e-06,8.39620619298226e-06,1.26166374688078e-05,3.06945836856263e-05,0.000115199197586131
"73",2.82349448347293e-06,4.14578815722511e-06,8.35805539500446e-06,3.82821602630249e-05,4.49878610276563e-05,7.31548883782882e-05
