"","draw","date","s","e","i","r","d"
"1",1,2020-04-01,10626167.9997477,113.203896300821,3104.0262649998,553.732049699554,1.03804131507282
"2",1,2020-04-02,10626167.9996446,97.1490980595248,2949.45053280433,724.340168137055,1.06055637816664
"3",1,2020-04-03,10626167.9995467,83.3726054983554,2801.13489595724,886.411007048965,1.08194478099993
"4",1,2020-04-04,10626167.9994556,71.4469324748221,2661.92656489055,1037.52141107666,1.10563593298013
"5",1,2020-04-05,10626167.9993774,61.0702145215973,2538.94113039353,1170.84698427819,1.14229344223659
"6",1,2020-04-06,10626167.9993103,52.5384489779031,2425.56024790339,1292.7138471531,1.18814568217742
"7",1,2020-04-07,10626167.9992522,45.8602919057953,2315.88649853698,1409.01512834799,1.23882897153497
"8",1,2020-04-08,10626167.9992014,40.7791550417027,2206.00061066324,1523.93018175865,1.29085116010452
"9",1,2020-04-09,10626167.9991561,36.8619034163451,2093.85166567626,1639.94568611379,1.34158865334377
"10",1,2020-04-10,10626167.9991153,33.5875529746509,1979.14730376822,1757.87674455867,1.38928343697244
"11",1,2020-04-11,10626167.9990778,30.4359681956754,1863.24392970249,1876.88798423885,1.43304010157178
"12",1,2020-04-12,10626167.999043,26.9765597125174,1749.03691858659,1994.51465588386,1.47282286718415
"13",1,2020-04-13,10626167.9990104,22.9569819322381,1640.85082164523,2106.68373339091,1.50945260791251
"14",1,2020-04-14,10626167.9989805,18.4620237055134,1544.77616864288,2207.22031729154,1.54250984683978
"15",1,2020-04-15,10626167.9989531,14.5840697285414,1457.22364448344,2298.62235987064,1.57097279048458
"16",2,2020-04-01,10626167.9989833,150.197078391593,2991.83914345012,628.816619133884,1.14817571876892
"17",2,2020-04-02,10626167.9988702,126.841956379409,2907.85032016057,736.124870621336,1.18398261493936
"18",2,2020-04-03,10626167.9987604,107.125460836197,2823.28921482837,840.367797297748,1.21876666556236
"19",2,2020-04-04,10626167.9986538,90.47695251461,2738.73777389727,941.534095726588,1.25252409887784
"20",2,2020-04-05,10626167.9985625,75.1299170699892,2620.38426784563,1075.20301920097,1.28423339808773
"21",2,2020-04-06,10626167.9985088,58.6318236707995,2411.9465739037,1300.11147324404,1.31162042207916
"22",2,2020-04-07,10626167.9984673,44.1922346985743,2195.22654163772,1531.24657103858,1.33618531062335
"23",2,2020-04-08,10626167.9984255,33.5552926597477,2009.0526244324,1728.03486456972,1.35879282024261
"24",2,2020-04-09,10626167.9983822,26.0561562693548,1843.27413602921,1901.28759572744,1.38372972401833
"25",2,2020-04-10,10626167.9983115,21.5923149953019,1709.94352453465,2039.02448959589,1.4413593559799
"26",2,2020-04-11,10626167.9982234,18.987411927676,1601.50059936041,2149.9944060916,1.51935918244997
"27",2,2020-04-12,10626167.9981332,17.0613709232663,1504.90875957952,2248.43093652188,1.6007997354861
"28",2,2020-04-13,10626167.99805,15.1645493391148,1412.54137714635,2342.62038011721,1.67564342722253
"29",2,2020-04-14,10626167.9979765,13.1491639371621,1322.04924603012,2435.06286106548,1.7407525016782
"30",2,2020-04-15,10626167.9979093,11.3393462517239,1236.23228642831,2522.63054485584,1.79991312982853
"31",3,2020-04-01,10626167.9997232,93.3377188369939,3253.92316754619,423.652520930296,1.08686952727991
"32",3,2020-04-02,10626167.9996454,74.8098054562492,3165.20320691512,530.85451430429,1.13282790187491
"33",3,2020-04-03,10626167.9995698,59.9713005371601,3075.77023768142,635.08138112303,1.17751081529247
"34",3,2020-04-04,10626167.9994995,47.8792442340416,2995.27530213044,727.62737714628,1.21857702695657
