"","country","dates","I","R","D","T"
"1","CZ",2020-03-11,31,0,0,458
"2","CZ",2020-03-12,22,0,0,537
"3","CZ",2020-03-13,25,0,0,845
"4","CZ",2020-03-14,48,0,0,986
"5","CZ",2020-03-15,109,0,0,1028
"6","CZ",2020-03-16,85,0,0,1319
"7","CZ",2020-03-17,67,0,0,1294
"8","CZ",2020-03-18,110,0,0,1756
"9","CZ",2020-03-19,206,0,0,2259
"10","CZ",2020-03-20,124,1,0,2121
"11","CZ",2020-03-21,159,2,0,1882
"12","CZ",2020-03-22,115,0,0,1801
"13","CZ",2020-03-23,126,0,0,2291
"14","CZ",2020-03-24,185,4,2,3062
"15","CZ",2020-03-25,292,0,3,4107
"16","CZ",2020-03-26,259,0,3,4633
"17","CZ",2020-03-27,377,1,0,5359
"18","CZ",2020-03-28,263,0,2,4224
"19","CZ",2020-03-29,159,0,5,2848
"20","CZ",2020-03-30,184,14,7,5159
"21","CZ",2020-03-31,304,20,8,6661
"22","CZ",2020-04-01,283,16,8,6102
"23","CZ",2020-04-02,268,6,5,6673
"24","CZ",2020-04-03,333,5,9,7398
"25","CZ",2020-04-04,283,6,6,5837
"26","CZ",2020-04-05,117,18,8,4812
