date,region,param_a,param_c,param_b,param_d,latent_S,latent_E,latent_I,latent_R,latent_D,observed_I,observed_R,observed_D,data_I,data_R,data_D
2020-08-03,ITC4,0.003573776661214917,0.2,0.0012235833309918046,0.09825360791325828,0.7993875478135732,3319.318655666896,5492.470263500986,322.84059325337836,35.176467958575856,5494.572015986202,323.46570673339806,35.84098520870198,541.0,756.0,18.0
2020-08-10,ITC4,0.003573776661214917,0.2,0.0012235833309918046,0.09825360791325828,0.7972846129215353,859.1869876028433,4370.351898005569,1484.035386759339,161.69937833921492,4370.367966260522,1483.537304248384,163.20994588625973,527.0,731.0,7.0
2020-08-17,ITC4,0.003573776661214917,0.2,0.0012235833309918046,0.09825360791325828,0.7958553704210072,356.27210189530666,3801.2013711101713,2379.127223953296,259.2279109618907,3804.6235993004457,2379.116410807995,260.2986018051805,936.0,515.0,16.0
2020-08-24,ITC4,0.003573776661214917,0.2,0.0012235833309918046,0.09825360791325828,0.7950353295786948,172.76948603473596,3103.8077275464307,3050.0711324562903,332.33345404622366,3107.5735053426924,3051.1531084607595,332.70677828951204,1624.0,570.0,7.0
2020-08-31,ITC4,0.0032928943763614604,0.2,0.0009308179299870176,0.09909576802015185,0.7945998401630727,75.34111302279914,1915.0443204227054,3558.9703826191767,387.83469766890164,1915.6244394474722,3558.807167963081,389.30648083337616,1765.0,546.0,17.0
2020-09-07,ITC4,0.0032928943763614604,0.2,0.0009308179299870176,0.09909576802015185,0.7943850052140532,30.379581627039244,964.1386091728685,3926.2490678010213,427.98677233069645,965.0544192656167,3927.366878653352,427.5134764566159,1634.0,857.0,19.0
2020-09-14,ITC4,0.0032928943763614604,0.2,0.0009308179299870176,0.09909576802015185,0.7942734548174416,14.473405509030275,517.7711933535146,4254.9362251240545,463.8845786553155,518.8219784558673,4253.458961652557,466.1690268231881,1419.0,1178.0,23.0
2020-09-21,ITC4,0.0032928943763614604,0.2,0.0009308179299870176,0.09909576802015185,0.7942158428724408,7.303546139624099,277.49473943310335,4567.0076679187105,497.94463077519345,278.2805870777598,4569.985015049676,499.31598549905016,1446.0,1192.0,24.0
2020-09-28,ITC4,0.08347251522680499,0.2,0.0013721475267592367,0.09996903645944076,0.794024931248907,19.153455382809526,138.45952421041503,4852.169736480038,529.0656872200185,139.46509274840037,4850.187913363433,530.0482826742772,1861.0,1712.0,25.0
2020-10-05,ITC4,0.08347251522680499,0.2,0.0013721475267592367,0.09996903645944076,0.7935786978411263,35.69357523616117,108.21363123090148,5163.980258222759,563.1038163221667,108.92240872513273,5164.014304836357,565.3354573323355,4959.0,1457.0,14.0
2020-10-12,ITC4,0.08347251522680499,0.2,0.0013721475267592367,0.09996903645944076,0.7932373255801729,45.115983729324,121.75741200039548,5588.07715630625,609.3815737943714,122.93926725820616,5587.6189139055405,611.2502275030954,13745.0,3207.0,93.0
2020-10-19,ITC4,0.08347251522680499,0.2,0.0013721475267592367,0.09996903645944076,0.7929564037160336,44.55207373523695,117.93140406274723,6078.941012039464,662.939216574378,119.36559996831195,6078.817636434518,663.6051171445874,27594.0,2748.0,157.0
2020-10-26,ITC4,0.0825574657726507,0.2,0.006000683692149046,0.032213089386282444,0.7927189366700986,47.758626185212535,139.57540796454032,6707.09186549764,730.1397317493077,140.45184638664807,6711.0690729326725,730.2230918641162,49988.0,7542.0,354.0
2020-11-02,ITC4,0.0825574657726507,0.2,0.006000683692149046,0.032213089386282444,0.7924576706946005,50.98511201317712,168.61159614332087,7394.756516673604,799.2924483840975,169.3506026986613,7389.420299972533,800.5417887036919,56403.0,13314.0,754.0
2020-11-09,ITC4,0.0825574657726507,0.2,0.006000683692149046,0.032213089386282444,0.7921515492094998,62.794542350029225,211.5182797764993,8158.484450917455,874.6247483453568,212.55867514128545,8156.967517864341,874.6673194556041,60026.0,28871.0,1024.0
2020-11-16,ITC4,0.0825574657726507,0.2,0.006000683692149046,0.032213089386282444,0.7917965508740876,61.32339761297043,207.15957892449683,8848.95237341425,939.7917191972891,207.89005944795505,8845.492281095248,942.1787725108474,50830.0,47808.0,1157.0
2020-11-23,ITC4,0.0016678382787412617,0.2,0.01892602696581836,0.03639174308559417,0.7915067267146854,47.69970579582876,234.99322110480634,9687.406262187336,1011.9374484319989,234.78036113927317,9682.158839069521,1012.169453880189,34252.0,64908.0,1123.0
2020-11-30,ITC4,0.0016678382787412617,0.2,0.01892602696581836,0.03639174308559417,0.7914990148251193,11.146337124958617,164.45848460117395,10677.515961427243,1084.9566188147235,165.126707115481,10678.811866351783,1086.966288914597,23247.0,38118.0,1377.0
2020-12-07,ITC4,0.0016678382787412617,0.2,0.01892602696581836,0.03639174308559417,0.791493186479868,2.434413556290567,84.49839747085373,11431.574865506314,1138.7610451971575,85.51462052882292,11435.050196933333,1141.9581790698483,14553.0,43797.0,786.0
2020-12-14,ITC4,0.0016678382787412617,0.2,0.01892602696581836,0.03639174308559417,0.791489051104016,1.1319826338082417,71.18555860857138,12189.310374716137,1197.8835656059514,71.9312232767824,12191.337993033785,1198.6012084600568,15556.0,32555.0,569.0
2020-12-21,ITC4,0.00026607493747868305,0.2,0.005758970709255181,0.04320776770872077,0.7914867777378727,0.3811333829828339,40.58679622677299,12756.932088224181,1244.266259820201,41.17754120373313,12755.287679374635,1243.8086299330746,12737.0,21703.0,488.0
2020-12-28,ITC4,0.00026607493747868305,0.2,0.005758970709255181,0.04320776770872077,0.7914864513443172,0.05703592985745398,13.76184029784602,12995.23231009952,1265.335528583709,14.650221663539748,12990.217084387332,1268.6745950067343,6948.0,11396.0,256.0
2020-12-28,ITC4,0.00026607493747868305,0.2,0.005758970709255181,0.04320776770872077,0.7914864513443172,0.038962333045696344,9.40097595228936,13130.100611396138,1278.4675487922266,10.34256765669063,13126.64759770697,1279.5605959423551,6167.0,3641.0,194.0
2021-01-04,ITC4,0.00026607493747868305,0.2,0.005758970709255181,0.04320776770872077,0.7914862181916359,0.04286886524521804,18.34036144948883,13529.974103609107,1315.7951158517958,19.22935036517981,13529.748820548015,1316.0051174236714,15688.0,14375.0,470.0
2021-01-11,ITC4,0.00026607493747868305,0.2,0.005758970709255181,0.04320776770872077,0.7914860521236824,0.02990053157796451,17.4188775032853,14046.304216783503,1364.8241485889573,18.39811236588959,14051.602776150161,1368.076375347686,13408.0,14614.0,450.0
2021-01-18,ITC4,0.00421806524668536,0.2,0.004812750165202868,0.08049497417019591,0.791485507987552,0.09280006378158256,12.892754460890503,14614.711886901405,1419.368309963511,13.89543918317629,14619.728440674038,1420.1070054317595,11108.0,13817.0,429.0
2021-01-25,ITC4,0.00421806524668536,0.2,0.004812750165202868,0.08049497417019591,0.7914843977083226,0.15243479265324086,7.996239162793231,15234.231430666914,1479.4556617710998,9.071670162036536,15228.1995565485,1478.4943343005134,12780.0,14275.0,432.0
2021-02-01,ITC4,0.00421806524668536,0.2,0.004812750165202868,0.08049497417019591,0.7914837708812857,0.10343940799960084,4.276517316095014,15815.278292158133,1535.8366262511636,5.2670696615188,15818.342565939949,1536.7071449219816,11431.0,13313.0,355.0
