"","country","dates","I","R","D","T"
"1","CZ",2020-03-27,377,1,0,5359
"2","CZ",2020-03-28,263,0,2,4224
"3","CZ",2020-03-29,159,0,5,2848
"4","CZ",2020-03-30,184,14,7,5159
"5","CZ",2020-03-31,304,20,8,6661
"6","CZ",2020-04-01,283,16,8,6102
"7","CZ",2020-04-02,268,6,5,6673
"8","CZ",2020-04-03,333,5,9,7398
"9","CZ",2020-04-04,283,6,6,5837
"10","CZ",2020-04-05,117,18,8,4812
"11","CZ",2020-04-06,236,25,11,6435
"12","CZ",2020-04-07,196,51,10,8173
"13","CZ",2020-04-08,294,61,11,8469
"14","CZ",2020-04-09,257,68,13,8180
"15","CZ",2020-04-10,163,45,7,5702
"16","CZ",2020-04-11,170,65,10,4891
"17","CZ",2020-04-12,89,53,9,3250
"18","CZ",2020-04-13,68,55,5,3215
"19","CZ",2020-04-14,82,123,18,6173
"20","CZ",2020-04-15,160,177,5,8476
"21","CZ",2020-04-16,132,153,3,8381
"22","CZ",2020-04-17,116,202,4,8288
"23","CZ",2020-04-18,105,53,8,5605
"24","CZ",2020-04-19,92,71,5,4027
"25","CZ",2020-04-20,154,261,8,6567
