"","draw","date","s","e","i","r","d"
"1",1,2020-03-22,10629809.5732332,23.0909762619462,70.400921440653,10629843.6277058,1.00788331775877
"2",1,2020-03-23,10629809.1946472,14.0266001202877,60.3853992077045,10629863.0791969,1.01487663123191
"3",1,2020-03-24,10629808.881686,8.32813953604587,50.3113076714974,10629879.1589291,1.02065771030331
"4",1,2020-03-25,10629808.6458108,3.88151025547759,42.870348183254,10629891.2780359,1.02501484224211
"5",1,2020-03-26,10629808.4362933,2.04786070143383,34.144776870812,10629902.0429041,1.02888509039449
"6",1,2020-03-27,10629808.242465,2.40370948047906,24.0204098114144,10629912.0016702,1.03246552405522
"7",1,2020-03-28,10629808.0920659,2.86407410476365,15.9802656954548,10629919.7290705,1.03524372406983
"8",1,2020-03-29,10629808.1602647,1.54513095455745,13.3908720650077,10629923.5688005,1.0356518179294
"9",1,2020-03-30,10629808.34906,0.284535794190127,12.0331195598118,10629925.9990852,1.03491936647578
"10",1,2020-03-31,10629808.1004081,0.096087060802968,9.37892556771028,10629929.0879868,1.03731252415193
"11",1,2020-04-01,10629807.3583338,0.908326014938741,5.35917142523313,10629933.0316321,1.04325664178809
"12",1,2020-04-02,10629806.5071507,1.87486196022987,1.66953189591265,10629936.5993178,1.04985765882099
"13",1,2020-04-03,10629806.2397172,1.6654029013512,1.11205461641498,10629937.6316337,1.05191150857381
"14",1,2020-04-04,10629806.5411579,0.367660315835254,3.39314676848342,10629936.3491855,1.0495694957796
"15",1,2020-04-05,10629806.7505824,0.614294991377611,5.05827913619738,10629935.4582111,1.04794239422631
"16",1,2020-04-06,10629806.5543606,0.610917750595792,4.41479285086328,10629936.2930173,1.04946692119578
"17",1,2020-04-07,10629805.953477,0.358333477654256,1.48535724874249,10629938.8494169,1.05413542975422
"18",1,2020-04-08,10629805.202731,1.71954673494168,2.32491608143084,10629942.0433901,1.05996827822201
"19",1,2020-04-09,10629804.7499392,2.4789070972449,4.56135925093193,10629943.9697468,1.0634861996435
"20",1,2020-04-10,10629805.1158458,1.86188296986344,3.42095405422867,10629943.082508,1.0614372415098
"21",1,2020-04-11,10629807.1035473,0.0994519960565558,3.30092869668738,10629942.941698,1.05585539939878
"22",1,2020-04-12,10629810.3786556,3.4193026441504,3.03322941790251,10629942.7279166,1.04667989216757
"23",1,2020-04-13,10629812.798769,2.91889770898619,5.73880116056209,10629942.5198096,1.0398402783703
"24",1,2020-04-14,10629816.8362672,3.28059607999512,9.08237560883724,10629942.1989636,1.0284609273472
"25",1,2020-04-15,10629825.0914808,9.07853574392324,10.8603699272073,10629941.5429505,1.00519430504026
"26",1,2020-04-16,10629836.604293,16.0004295374051,14.5039580786928,10629940.6280681,0.97274644091973
"27",1,2020-04-17,10629836.1438604,6.80240378945174,18.1105067128953,10629935.4950462,0.974723911349036
"28",1,2020-04-18,10629845.7877927,4.5828916344439,25.8997252873314,10629931.4475695,0.947974739510728
"29",1,2020-04-19,10629913.7801724,51.3568559315503,56.5644601740619,10629941.0874975,0.75436626193712
"30",1,2020-04-20,10630024.457263,130.235742350215,102.940375123054,10629955.9802555,0.439318976677648
"31",1,2020-04-21,10630103.4883655,170.109362178402,132.368052880393,10629946.4727645,0.217005090312972
"32",1,2020-04-22,10630139.0617239,164.988183304331,140.353107005526,10629913.8596188,0.120667558348942
"33",1,2020-04-23,10630176.5105619,162.730554619492,145.625725349865,10629879.5271868,0.0192513438871314
"34",1,2020-04-24,10630215.9519951,163.55538587863,147.976447456624,10629843.3681189,0.0875606575134991
"35",1,2020-04-25,10630256.4529363,165.645984794194,149.146844857066,10629806.2378548,0.197241521740509
"36",1,2020-04-26,10630295.016211,164.703175757408,151.478418549711,10629769.1722852,0.306181877244063
"37",1,2020-04-27,10630323.5990651,153.172720360715,153.460211960304,10629731.1492938,0.41470652425932
"38",1,2020-04-28,10630362.9566127,153.169356237312,155.788919053957,10629694.2258888,0.523506191378701
"39",1,2020-04-29,10630429.5529193,179.969069074523,161.167758806197,10629659.9180621,0.633433473857401
"40",1,2020-04-30,10630528.9373233,235.291074940253,173.096503814484,10629627.8979597,0.746984274725174
"41",1,2020-05-01,10630656.8584241,308.529655967598,195.545165141104,10629595.7862892,0.869172168556798
"42",1,2020-05-02,10630801.8682231,380.179435401727,232.044493402963,10629559.0649504,1.00852464887568
"43",1,2020-05-03,10630971.8242065,459.260653363008,278.267566315414,10629514.5803897,1.17565652254871
"44",1,2020-05-04,10631175.4342454,553.288268074005,334.3573464432,10629461.2879693,1.37588019444311
"45",1,2020-05-05,10631419.3019815,664.785620971967,402.659745458032,10629397.4597925,1.61568750348198
"46",1,2020-05-06,10631712.3804943,798.134164215397,485.395226868788,10629320.7534956,1.90387888758347
"47",1,2020-05-07,10632065.6789194,959.233189495332,584.782769776486,10629228.2890347,2.25127489125656
"48",1,2020-05-08,10632491.9162164,1155.01753882723,703.266898994051,10629116.7393171,2.67037565431801
"49",1,2020-05-09,10633004.7795718,1390.79166173006,845.637312775331,10628982.5247527,3.1746299682785
"50",1,2020-05-10,10633604.9009337,1664.89361683445,1012.16680659745,10628823.6496219,3.78941222526732
"51",2,2020-03-22,10629809.436783,23.3475701730737,70.260071622606,10629843.6302972,1.02599805987254
"52",2,2020-03-23,10629808.9375633,14.3632181433678,60.2828390847048,10629863.0680575,1.04904200881469
"53",2,2020-03-24,10629808.5245395,8.66404646211897,50.2943581401223,10629879.1496687,1.06810715943181
"54",2,2020-03-25,10629808.2130942,4.17324259171727,42.955709206691,10629891.2761905,1.0824834529774
"55",2,2020-03-26,10629807.9364228,2.25627223683196,34.3640191620651,10629902.0487513,1.09525459202144
"56",2,2020-03-27,10629807.6793791,2.54705074980404,24.310093353612,10629912.0570771,1.10711971153732
"57",2,2020-03-28,10629807.4770894,3.03819907779102,16.1354869098178,10629919.9334872,1.11645739190416
"58",2,2020-03-29,10629807.4765578,1.66533584166835,13.6773181997921,10629923.7610034,1.12050470237423
"59",2,2020-03-30,10629807.6219631,0.128090967974304,13.012004669309,10629925.8167134,1.12194784150081
"60",2,2020-03-31,10629807.4434594,0.175351618413338,10.4169605668086,10629928.8895615,1.12609017878079
"61",2,2020-04-01,10629806.8740003,0.757937324035988,5.59293025512007,10629933.342201,1.13365116863933
"62",2,2020-04-02,10629806.208439,1.92397217342279,0.817180119935773,10629937.6096303,1.14149838066594
"63",2,2020-04-03,10629806.0281789,1.60172869881155,0.275750255620329,10629938.6515588,1.14350339624749
"64",2,2020-04-04,10629806.6719102,1.23139148778833,6.60699448912637,10629934.5173004,1.13590638813306
"65",2,2020-04-05,10629807.1446819,3.32755131256872,11.2722592648317,10629931.4810032,1.13032696547121
"66",2,2020-04-06,10629806.853855,2.74523194873034,9.10954417265122,10629933.3487936,1.13375916962032
"67",2,2020-04-07,10629805.8535929,0.302229630146526,0.62651717598427,10629939.7728165,1.14556379108917
"68",2,2020-04-08,10629804.7097656,3.90207124679904,9.18904121988675,10629947.1188617,1.1590626971284
"69",2,2020-04-09,10629804.3648553,4.89753611697892,12.0587937993982,10629949.3339893,1.16313315932191
"70",2,2020-04-10,10629804.8153313,2.66777090667518,6.06846084512301,10629945.13038,1.15569865231297
"71",2,2020-04-11,10629806.864046,0.054593140812125,4.13292855706702,10629943.7644297,1.15057980392686
"72",2,2020-04-12,10629811.2837169,5.04868862822714,2.68571039850643,10629943.0083243,1.14307778342121
"73",2,2020-04-13,10629815.8501228,8.37700673325442,3.06215274416956,10629942.1545473,1.13520939962478
"74",2,2020-04-14,10629818.0652966,3.12288359453953,10.113462341833,10629941.7403769,1.13139241748737
"75",2,2020-04-15,10629825.2303103,4.92352508822282,14.1258516279527,10629940.40074,1.11904636320593
"76",2,2020-04-16,10629838.1138732,13.7023473418783,15.7995668073656,10629937.9919143,1.09684669605477
"77",2,2020-04-17,10629851.732341,15.1587223575461,25.3919666433804,10629935.4456873,1.07338074289156
"78",2,2020-04-18,10629869.2036018,22.6293253850176,30.3096303233592,10629930.3986428,1.03743111245384
"79",2,2020-04-19,10629903.5502833,35.4741930746014,46.5100284015117,10629925.1525501,0.982108054125873
"80",2,2020-04-20,10629967.8954583,55.5197773885885,85.1685072161683,10629919.6010413,0.892505001806432
"81",2,2020-04-21,10630004.5784141,60.9701056211802,97.156327801201,10629900.4597638,0.78897551189818
"82",2,2020-04-22,10630034.0997999,63.080941729413,101.65030500066,10629877.6508166,0.681350278188669
"83",2,2020-04-23,10630065.0441091,65.7584524446188,105.896026549331,10629853.742552,0.568537857015281
"84",2,2020-04-24,10630097.3063372,68.5757675572438,110.317458970053,10629828.836607,0.451002324665364
"85",2,2020-04-25,10630138.8309537,82.5628496353537,115.889063772519,10629806.9815365,0.340143199009456
"86",2,2020-04-26,10630182.7347255,97.5230672543994,122.457962944314,10629784.7207383,0.226286382969739
"87",2,2020-04-27,10630216.2784653,95.2066399585441,129.261360677644,10629755.7981681,0.0920872698792922
"88",2,2020-04-28,10630236.0290918,71.3078358953413,135.465585334184,10629718.5122398,0.0671903309233679
"89",2,2020-04-29,10630247.5176194,35.1488215571285,139.829574310756,10629675.4061977,0.244701191963455
"90",2,2020-04-30,10630264.8971477,9.36351152242166,140.368358905014,10629632.9584884,0.423045665499079
"91",2,2020-05-01,10630310.6008508,29.5814181973091,134.016549181123,10629601.2731333,0.575296681390411
"92",2,2020-05-02,10630384.9159642,92.4397166112332,126.448026977395,10629582.3661335,0.693634024298003
"93",2,2020-05-03,10630458.1678238,143.973411396384,129.691836142101,10629564.0073214,0.809177726049524
"94",2,2020-05-04,10630535.6725607,190.900594689681,140.722583828334,10629544.5827667,0.931428825846358
"95",2,2020-05-05,10630622.5295371,239.358949839327,157.215919886585,10629522.8144831,1.06843050454686
"96",2,2020-05-06,10630720.1049194,289.234961153777,180.307036706071,10629498.3601358,1.22233729372253
"97",2,2020-05-07,10630831.3683533,342.497847891017,210.247520491817,10629470.4755677,1.3978326478845
"98",2,2020-05-08,10630961.2789565,403.80875641603,246.084811633203,10629437.9180693,1.60273773021387
"99",2,2020-05-09,10631119.3607309,483.655669240099,285.207897151511,10629399.0521693,1.84861384436136
"100",2,2020-05-10,10631259.4156462,519.151761841963,347.574309200372,10629357.1121636,2.10101875320143
"101",3,2020-03-22,10629809.5819568,23.8585733184013,70.2421861313153,10629842.9970919,1.02091189920125
"102",3,2020-03-23,10629809.2105335,14.9536529801388,60.5785371921832,10629861.9185046,1.03949171543025
"103",3,2020-03-24,10629808.9015086,9.18537008602879,50.8977334038731,10629877.6611577,1.05495015958884
"104",3,2020-03-25,10629808.6684318,4.56049149122671,43.8703973157323,10629889.53479,1.06660943198426
"105",3,2020-03-26,10629808.4613205,2.36811043249763,35.7086615497046,10629900.0856577,1.07696982026336
"106",3,2020-03-27,10629808.265467,2.43421568663895,25.851247552474,10629910.0630227,1.0867670595688
"107",3,2020-03-28,10629808.1027067,3.09303083058583,17.0555537565118,10629918.3545198,1.09490886669993
"108",3,2020-03-29,10629808.0723908,2.12669715422453,13.4976200212377,10629922.9049781,1.09903391363622
"109",3,2020-03-30,10629808.3321459,0.290008766163661,13.1800147681867,10629924.7993838,1.09916677443396
"110",3,2020-03-31,10629808.3077349,0.46752078414709,11.5288149452475,10629927.2302727,1.10141819918314
"111",3,2020-04-01,10629807.7736549,0.289654899018486,7.33487290098685,10629931.1945723,1.10796505610514
"112",3,2020-04-02,10629806.944694,1.80462641116381,2.0803138976984,10629935.7543417,1.11674399252156
"113",3,2020-04-03,10629806.3840309,2.45593927018491,0.769695231143575,10629938.5080501,1.12239498617094
"114",3,2020-04-04,10629806.6388363,0.780454451772168,1.99545081660461,10629937.1662301,1.1197483801199
"115",3,2020-04-05,10629806.9777472,0.966572598365203,5.17661495106201,10629935.396689,1.11624136498416
"116",3,2020-04-06,10629806.7923819,0.881509763723461,4.30715762788654,10629936.3645307,1.11815950946232
"117",3,2020-04-07,10629806.1268554,0.85897137481565,0.249571618762081,10629939.8394185,1.12504631454339
"118",3,2020-04-08,10629805.5057779,2.54686298678111,4.56562033077037,10629943.0822263,1.13147316528827
"119",3,2020-04-09,10629805.6532774,1.79292598946119,3.25792066261779,10629942.3823739,1.13006338115384
"120",3,2020-04-10,10629805.89351,0.714269261888498,1.26901600704522,10629941.2342033,1.12775346961691
"121",3,2020-04-11,10629806.1606185,0.569177967484331,1.1969140711137,10629941.0408564,1.12698121991154
"122",3,2020-04-12,10629808.0607481,2.68589951629367,0.392254423684731,10629940.8102312,1.12338574603888
"123",3,2020-04-13,10629810.4397114,6.53899155804473,2.18771720216491,10629940.4934452,1.11883771743552
"124",3,2020-04-14,10629809.2614028,1.48212959359212,1.84999370099867,10629940.6503501,1.12109036800961
"125",3,2020-04-15,10629808.048887,4.78384122451742,7.06722637061418,10629940.8118097,1.12340840808883
"126",3,2020-04-16,10629812.8987046,1.20439605016595,5.27372527070761,10629940.1660001,1.1141366586702
"127",3,2020-04-17,10629817.1971658,3.50852513321565,6.68745035659115,10629939.5936107,1.1059189873416
"128",3,2020-04-18,10629823.3583541,6.02478123888702,9.56333036915058,10629938.8361294,1.09434811813412
"129",3,2020-04-19,10629832.5864606,10.424325165015,13.0251913950703,10629937.4874656,1.07631033121406
"130",3,2020-04-20,10629837.9508543,10.4063143110224,15.608411437482,10629934.7053656,1.05922576800055
"131",3,2020-04-21,10629841.0214814,9.11473634075298,16.0993525325398,10629930.8513501,1.04197745762162
"132",3,2020-04-22,10629844.5010778,8.60026158819587,16.2710895772105,10629927.0467032,1.02429019818385
"133",3,2020-04-23,10629848.0138786,8.32797428589897,16.1973699420321,10629923.2057515,1.00643416284069
"134",3,2020-04-24,10629851.6084946,8.43448195977659,15.7367980141316,10629919.2753432,0.988162256647622
"135",3,2020-04-25,10629855.2000944,8.6757008257641,15.141813251976,10629915.348234,0.969905687774879
"136",3,2020-04-26,10629858.572224,8.49660855699934,14.9400751879335,10629911.6126219,0.952557800099468
"137",3,2020-04-27,10629859.664893,4.82908393690558,16.3009833839814,10629908.2282371,0.93765715586474
"138",3,2020-04-28,10629859.8564079,0.0823456628678919,18.172379953147,10629905.0105037,0.923842654117068
"139",3,2020-04-29,10629861.5715723,2.60861988045146,19.1856547924115,10629901.7967711,0.909411541012131
"140",3,2020-04-30,10629866.1670733,0.841290239006003,18.7361912978267,10629898.5349704,0.893577312490919
"141",3,2020-05-01,10629874.0503672,5.59129619707032,16.8922784779548,10629895.2576182,0.87630930315275
"142",3,2020-05-02,10629884.7985645,15.7078131659352,14.3040230673083,10629892.0558195,0.858172275128286
"143",3,2020-05-03,10629897.2773159,27.3577715520951,12.1122616397903,10629889.0532713,0.840166006952555
"144",3,2020-05-04,10629909.7596975,37.4053357301987,11.8574727221346,10629886.380266,0.823564882437969
"145",3,2020-05-05,10629920.0930915,41.9763213801538,15.3727950021053,10629884.147006,0.809738945505094
"146",3,2020-05-06,10629933.8687473,47.9567530465861,21.0301421806903,10629882.0233948,0.795473147336712
"147",3,2020-05-07,10629950.2181182,55.6164872820673,26.7382551589276,10629879.0609057,0.776438510029828
"148",3,2020-05-08,10629964.2867107,59.5060777206704,32.6457448516453,10629874.8138507,0.751981167282323
"149",3,2020-05-09,10629974.6819225,58.2691067976274,38.7234433130723,10629869.2887945,0.722553085656904
"150",3,2020-05-10,10629981.650274,52.9026111031722,44.4827968877265,10629862.7465334,0.689320607664909
"151",4,2020-03-22,10629809.5790618,24.0542985867783,69.1901628332796,10629843.8690805,1.00811632293688
"152",4,2020-03-23,10629809.2099587,15.1922839713883,58.9756556443361,10629863.3075885,1.01523318703084
"153",4,2020-03-24,10629808.9063289,9.41602594404815,49.0592798486121,10629879.2979976,1.02108762649687
"154",4,2020-03-25,10629808.6805556,4.80066896034471,42.0058897593346,10629891.1881648,1.0254408774625
"155",4,2020-03-26,10629808.4814208,2.54505564202696,33.9695276889749,10629901.6754354,1.02928049721799
"156",4,2020-03-27,10629808.292962,2.48866332713153,24.2857220082542,10629911.6004584,1.03291426578349
