date,region,param_a,param_c,param_b,param_d,latent_S,latent_E,latent_I,latent_R,latent_D,observed_I,observed_R,observed_D,data_I,data_R,data_D
2020-03-01,IT,0.2497642828690127,0.2,0.053074296156100625,0.0527834427843115,0.7999999999999887,246.60000000000397,246.60000000000397,0.0,0.0,246.62585911548453,1.0559050708831403,0.9466936716909504,566.0,33.0,5.0
2020-03-02,IT,0.2497642828690127,0.2,0.053074296156100625,0.0527834427843115,0.7793791133448255,223.08932740869116,241.6990486434933,99.97976404579732,5.571351255316581,241.46576034806967,100.90096915830854,6.424750409222381,342.0,66.0,18.0
2020-03-03,IT,0.2497642828690127,0.2,0.053074296156100625,0.0527834427843115,0.757660292419928,256.243680677544,294.4016466292297,235.66746938656635,13.132520004775728,294.00797732875265,237.7900308114188,14.277268044880211,466.0,11.0,27.0
2020-03-04,IT,0.2497642828690127,0.2,0.053074296156100625,0.0527834427843115,0.7350743841817947,414.1530643493171,497.70527618196803,434.65082832907535,24.220825695550367,495.9186509429669,434.3347503009147,25.15570784180533,587.0,116.0,28.0
2020-03-05,IT,0.2497642828690127,0.2,0.053074296156100625,0.0527834427843115,0.7118129635551589,268.32245931209775,334.3574000757082,659.1438334645228,36.73065103778998,334.2024497960164,660.8466209166778,37.497354441666694,769.0,138.0,41.0
2020-03-06,IT,0.2497642828690127,0.2,0.053074296156100625,0.0527834427843115,0.6880424612429478,433.89160676316334,557.6055951430325,972.1144961784357,54.17087517944352,556.763256812064,972.6937971819309,55.2186211659199,778.0,109.0,49.0
2020-03-07,IT,0.2497642828690127,0.2,0.053074296156100625,0.0527834427843115,0.6639132905726932,631.6099289963504,834.3986299042592,1416.3420292622645,78.92536072673091,832.588685226737,1414.4477452485307,79.73256876942129,1247.0,66.0,36.0
2020-03-08,IT,0.24860027286890968,0.2,0.07205195106633705,0.07153224731029806,0.6395653471688434,887.8650017459894,1203.5117911876723,2054.9269466772193,114.51037050566914,1202.4246147718343,2052.88874924045,114.94967101418045,1492.0,33.0,133.0
2020-03-09,IT,0.24860027286890968,0.2,0.07205195106633705,0.07153224731029806,0.6156708488791742,443.1600870767725,597.0478327924986,2737.3426158954044,163.3508379482693,597.2794421318268,2734.7396238862652,164.31430206576306,1797.0,102.0,97.0
2020-03-10,IT,0.24860027286890968,0.2,0.07205195106633705,0.07153224731029806,0.592561323413636,792.1831860838867,1069.775262779556,3701.861450430969,231.00000613302728,1069.034221003168,3703.4294858328913,232.10318498561813,977.0,280.0,168.0
