date,region,param_a,param_c,param_b,param_d,latent_S,latent_E,latent_I,latent_R,latent_D,observed_I,observed_R,observed_D,data_I,data_R,data_D
2020-08-03,ITI1,0.015035492319242852,0.2,0.03414814754147002,0.09707110638230244,0.9796929193040861,135.36491898815123,206.5505352149467,289.22968456097374,31.094193216533117,207.167843020854,290.1700036705338,31.964635615284866,146.0,31.0,2.0
2020-08-10,ITI1,0.015035492319242852,0.2,0.03414814754147002,0.09707110638230244,0.9787207439321426,42.98014762512376,148.42560480943524,1257.3858039638517,135.17767789127188,149.29415811247515,1259.0568773982593,136.46254969228866,189.0,31.0,1.0
2020-08-17,ITI1,0.015035492319242852,0.2,0.03414814754147002,0.09707110638230244,0.9781180527024843,23.208977872475472,116.19370999565587,1957.9559432058477,210.49381739606176,117.053745566108,1958.8821710199932,211.9380459650061,342.0,28.0,1.0
2020-08-24,ITI1,0.015035492319242852,0.2,0.03414814754147002,0.09707110638230244,0.9777967965341091,14.190757081192688,84.0680014063823,2469.6700532413092,265.5066264485667,85.06649613049879,2469.6509997614467,266.8234195104785,610.0,85.0,2.0
2020-08-31,ITI1,0.0008323946850216091,0.2,0.03335267740237073,0.0980741802019813,0.9776675656331676,7.061932269637457,53.283660163733934,2893.530452791294,311.1269848459449,53.924151310169165,2894.3428648282447,312.33118884404325,629.0,136.0,2.0
2020-09-07,ITI1,0.0008323946850216091,0.2,0.03335267740237073,0.0980741802019813,0.9776632209206128,1.748876450546438,23.157379569262886,3224.0628536493728,346.7903223579093,24.07208986038167,3227.5721178704134,345.8378983982055,700.0,229.0,6.0
2020-09-14,ITI1,0.0008323946850216091,0.2,0.03335267740237073,0.0980741802019813,0.9776612828552288,0.4797126336570697,10.134441625816878,3511.6302659260105,377.7789815459995,11.037148657410787,3513.133695924911,379.2589462738701,698.0,198.0,3.0
2020-09-21,ITI1,0.0008323946850216091,0.2,0.03335267740237073,0.0980741802019813,0.9776604546375512,0.1370743072298524,4.264321360704322,3776.1529359730016,406.26184711663046,5.223939953009796,3776.73062092791,406.654856580822,754.0,298.0,5.0
2020-09-28,ITI1,0.004291544238107315,0.2,0.035132349890716154,0.09995335296637405,0.9776598186855324,0.05772935126491922,1.9194064276352918,4052.805789717963,436.04226469341774,2.9309919782885294,4055.5381926030846,435.8581821226331,1013.0,449.0,9.0
2020-10-05,ITI1,0.004291544238107315,0.2,0.035132349890716154,0.09995335296637405,0.9776590908699343,0.040927755537615754,0.9942605424899984,4396.150151534346,472.99870802699536,2.0033315029309207,4394.006021633128,474.93325830667715,2581.0,393.0,8.0
2020-10-12,ITI1,0.004291544238107315,0.2,0.035132349890716154,0.09995335296637405,0.9776587917719715,0.023466668812830962,0.49390604628619855,4805.293727789479,517.0271927755673,1.5268635101706423,4810.717263928119,518.9024861363077,4642.0,778.0,20.0
2020-10-19,ITI1,0.004291544238107315,0.2,0.035132349890716154,0.09995335296637405,0.9776586673715443,0.011288192027724383,0.22063799729403394,5244.146140400023,564.2489104469247,1.232452193133555,5243.481047854935,565.1070043079364,8488.0,1086.0,68.0
2020-10-26,ITI1,0.24779415127679302,0.2,0.03445724361084764,0.04108959638065372,0.9776579625379331,0.06318787077977277,0.14314887853707992,5799.376173659905,623.9841150083113,1.1593500394912675,5798.670757233679,625.7843662777897,15352.0,2597.0,101.0
