date,week,tests,confirmed,deaths,recovered,region
2020-01-27,4,20,,,,CZ
2020-01-28,4,8,,,,CZ
2020-01-29,4,5,,,,CZ
2020-01-30,4,1,,,,CZ
2020-01-31,4,3,,,,CZ
2020-02-01,4,1,,,,CZ
2020-02-02,4,5,,,,CZ
2020-02-03,5,5,,,,CZ
2020-02-04,5,5,,,,CZ
2020-02-05,5,0,,,,CZ
2020-02-06,5,3,,,,CZ
2020-02-07,5,6,,,,CZ
2020-02-08,5,0,,,,CZ
2020-02-09,5,2,,,,CZ
2020-02-10,6,8,,,,CZ
2020-02-11,6,2,,,,CZ
2020-02-12,6,1,,,,CZ
2020-02-13,6,1,,,,CZ
2020-02-14,6,0,,,,CZ
2020-02-15,6,1,,,,CZ
2020-02-16,6,1,,,,CZ
2020-02-17,7,2,,,,CZ
2020-02-18,7,0,,,,CZ
2020-02-19,7,2,,,,CZ
2020-02-20,7,0,,,,CZ
2020-02-21,7,0,,,,CZ
2020-02-22,7,1,,,,CZ
2020-02-23,7,3,,,,CZ
2020-02-24,8,12,,,,CZ
2020-02-25,8,14,,,,CZ
2020-02-26,8,23,,,,CZ
2020-02-27,8,35,,,,CZ
2020-02-28,8,23,,,,CZ
2020-02-29,8,7,,,,CZ
2020-03-01,8,11,3.0,,,CZ
2020-03-02,9,51,,,,CZ
2020-03-03,9,78,1.0,,,CZ
2020-03-04,9,67,,,,CZ
2020-03-05,9,76,3.0,,,CZ
2020-03-06,9,111,11.0,,,CZ
2020-03-07,9,193,7.0,,,CZ
2020-03-08,9,141,6.0,,,CZ
2020-03-09,10,265,6.0,,,CZ
2020-03-10,10,165,25.0,,,CZ
2020-03-11,10,458,31.0,,,CZ
2020-03-12,10,537,22.0,,,CZ
2020-03-13,10,845,25.0,,,CZ
2020-03-14,10,986,47.0,,1.0,CZ
2020-03-15,10,1028,107.0,,3.0,CZ
2020-03-16,11,1319,81.0,,,CZ
2020-03-17,11,1294,65.0,,,CZ
2020-03-18,11,1756,109.0,,,CZ
2020-03-19,11,2259,201.0,,1.0,CZ
2020-03-20,11,2121,121.0,,3.0,CZ
2020-03-21,11,1882,155.0,,5.0,CZ
2020-03-22,11,1801,115.0,1.0,,CZ
2020-03-23,12,2291,125.0,,5.0,CZ
2020-03-24,12,3062,185.0,2.0,4.0,CZ
2020-03-25,12,4107,287.0,7.0,4.0,CZ
2020-03-26,12,4633,258.0,,9.0,CZ
2020-03-27,12,5359,374.0,2.0,15.0,CZ
2020-03-28,12,4224,262.0,5.0,8.0,CZ
2020-03-29,12,2848,159.0,6.0,18.0,CZ
2020-03-30,13,5159,184.0,5.0,30.0,CZ
2020-03-31,13,6661,302.0,7.0,21.0,CZ
2020-04-01,13,6102,282.0,8.0,46.0,CZ
2020-04-02,13,6673,264.0,6.0,42.0,CZ
2020-04-03,13,7398,330.0,8.0,68.0,CZ
2020-04-04,13,5837,273.0,9.0,47.0,CZ
2020-04-05,13,4812,116.0,8.0,42.0,CZ
2020-04-06,14,6435,233.0,8.0,99.0,CZ
2020-04-07,14,8173,189.0,10.0,123.0,CZ
2020-04-08,14,8469,287.0,15.0,115.0,CZ
2020-04-09,14,8180,254.0,10.0,183.0,CZ
2020-04-10,14,5702,159.0,11.0,148.0,CZ
2020-04-11,14,4891,169.0,8.0,136.0,CZ
2020-04-12,14,3250,88.0,10.0,112.0,CZ
2020-04-13,15,3215,63.0,11.0,127.0,CZ
2020-04-14,15,6173,79.0,9.0,198.0,CZ
2020-04-15,15,8476,158.0,,212.0,CZ
2020-04-16,15,8381,127.0,2.0,278.0,CZ
2020-04-17,15,8288,111.0,8.0,327.0,CZ
