date,confirmed,tests,deaths,recovered,region
2020-02-25,93.0,4299.0,3.0,0.0,IT
2020-02-26,78.0,964.0,2.0,2.0,IT
2020-02-27,250.0,2427.0,5.0,42.0,IT
2020-02-28,238.0,3681.0,4.0,1.0,IT
2020-02-29,240.0,2966.0,8.0,4.0,IT
2020-03-01,566.0,2466.0,5.0,33.0,IT
2020-03-02,342.0,2218.0,18.0,66.0,IT
2020-03-03,466.0,2511.0,27.0,11.0,IT
2020-03-04,587.0,3981.0,28.0,116.0,IT
2020-03-05,769.0,2525.0,41.0,138.0,IT
2020-03-06,778.0,3997.0,49.0,109.0,IT
2020-03-07,1247.0,5703.0,36.0,66.0,IT
2020-03-08,1492.0,7875.0,133.0,33.0,IT
2020-03-09,1797.0,3889.0,97.0,102.0,IT
2020-03-10,977.0,6935.0,168.0,280.0,IT
2020-03-11,2313.0,12393.0,196.0,41.0,IT
2020-03-12,2651.0,12857.0,189.0,213.0,IT
2020-03-13,2547.0,11477.0,250.0,181.0,IT
2020-03-14,3497.0,11682.0,175.0,527.0,IT
2020-03-15,3590.0,15729.0,368.0,369.0,IT
2020-03-16,3233.0,13063.0,349.0,414.0,IT
2020-03-17,3526.0,10695.0,345.0,192.0,IT
2020-03-18,4207.0,16884.0,475.0,1084.0,IT
2020-03-19,5322.0,17236.0,427.0,415.0,IT
2020-03-20,5986.0,24109.0,627.0,689.0,IT
2020-03-21,6557.0,26336.0,793.0,943.0,IT
2020-03-22,5560.0,25180.0,651.0,952.0,IT
2020-03-23,4789.0,17066.0,601.0,408.0,IT
2020-03-24,5249.0,21496.0,743.0,894.0,IT
2020-03-25,5210.0,27481.0,683.0,1036.0,IT
2020-03-26,6153.0,36615.0,662.0,999.0,IT
2020-03-27,5959.0,33019.0,969.0,589.0,IT
2020-03-28,5974.0,35447.0,889.0,1434.0,IT
2020-03-29,5217.0,24504.0,756.0,646.0,IT
2020-03-30,4050.0,23329.0,812.0,1590.0,IT
2020-03-31,4053.0,29609.0,837.0,1109.0,IT
2020-04-01,4782.0,34455.0,727.0,1118.0,IT
2020-04-02,4668.0,39809.0,760.0,1431.0,IT
2020-04-03,4585.0,38617.0,766.0,1480.0,IT
2020-04-04,4805.0,37375.0,681.0,1238.0,IT
2020-04-05,4316.0,34237.0,525.0,819.0,IT
2020-04-06,3599.0,30271.0,636.0,1022.0,IT
2020-04-07,3039.0,33713.0,604.0,1555.0,IT
2020-04-08,3836.0,51680.0,542.0,2099.0,IT
2020-04-09,4204.0,46244.0,610.0,1979.0,IT
2020-04-10,3951.0,53495.0,570.0,1985.0,IT
2020-04-11,4694.0,56609.0,619.0,2079.0,IT
2020-04-12,4092.0,46720.0,431.0,1677.0,IT
2020-04-13,3153.0,36717.0,566.0,1224.0,IT
2020-04-14,2972.0,26779.0,602.0,1695.0,IT
2020-04-15,2667.0,43715.0,578.0,962.0,IT
2020-04-16,3786.0,60999.0,525.0,2072.0,IT
2020-04-17,3493.0,65705.0,575.0,2563.0,IT
2020-04-18,3491.0,61725.0,482.0,2200.0,IT
2020-04-19,3047.0,50708.0,433.0,2128.0,IT
2020-04-20,2256.0,41483.0,454.0,1822.0,IT
2020-04-21,2729.0,52126.0,534.0,2723.0,IT
2020-04-22,3370.0,63101.0,437.0,2943.0,IT
2020-04-23,2646.0,66658.0,464.0,3033.0,IT
2020-04-24,3021.0,62447.0,420.0,2922.0,IT
2020-04-25,2357.0,65387.0,415.0,2622.0,IT
2020-04-26,2324.0,49916.0,260.0,1808.0,IT
2020-04-27,1739.0,32003.0,333.0,1696.0,IT
2020-04-28,2091.0,57272.0,382.0,2317.0,IT
2020-04-29,2086.0,63827.0,323.0,2311.0,IT
2020-04-30,1872.0,68456.0,285.0,4693.0,IT
2020-05-01,1965.0,74208.0,269.0,2304.0,IT
2020-05-02,1900.0,55412.0,474.0,1665.0,IT
2020-05-03,1389.0,44935.0,174.0,1740.0,IT
2020-05-04,1221.0,37631.0,195.0,1225.0,IT
2020-05-05,1075.0,55263.0,236.0,2352.0,IT
2020-05-06,1444.0,64263.0,369.0,8014.0,IT
2020-05-07,1401.0,70359.0,274.0,3031.0,IT
2020-05-08,1327.0,63775.0,243.0,2747.0,IT
2020-05-09,1083.0,69171.0,194.0,4008.0,IT
2020-05-10,802.0,51678.0,165.0,2155.0,IT
2020-05-11,744.0,40740.0,179.0,1401.0,IT
2020-05-12,1402.0,67003.0,172.0,2452.0,IT
2020-05-13,888.0,61973.0,195.0,3502.0,IT
2020-05-14,992.0,71876.0,262.0,2747.0,IT
2020-05-15,789.0,68176.0,242.0,4917.0,IT
2020-05-16,875.0,69179.0,153.0,2605.0,IT
2020-05-17,675.0,60101.0,145.0,2366.0,IT
2020-05-18,451.0,36406.0,99.0,2150.0,IT
2020-05-19,813.0,63158.0,162.0,2075.0,IT
2020-05-20,665.0,67195.0,161.0,2881.0,IT
2020-05-21,642.0,71679.0,156.0,2278.0,IT
2020-05-22,652.0,75380.0,130.0,2160.0,IT
2020-05-23,669.0,72410.0,119.0,2120.0,IT
2020-05-24,531.0,55824.0,50.0,1639.0,IT
2020-05-25,300.0,35241.0,92.0,1502.0,IT
2020-05-26,397.0,57674.0,78.0,2677.0,IT
2020-05-27,584.0,67324.0,117.0,2443.0,IT
2020-05-28,593.0,75893.0,70.0,3503.0,IT
2020-05-29,516.0,72135.0,87.0,2240.0,IT
2020-05-30,416.0,69342.0,111.0,2789.0,IT
2020-05-31,355.0,54118.0,75.0,1874.0,IT
2020-06-01,178.0,31394.0,60.0,848.0,IT
2020-06-02,318.0,52159.0,55.0,1737.0,IT
2020-06-03,321.0,37299.0,71.0,846.0,IT
2020-06-04,177.0,49953.0,88.0,957.0,IT
2020-06-05,518.0,65028.0,85.0,1886.0,IT
2020-06-06,270.0,72485.0,72.0,1297.0,IT
2020-06-07,197.0,49478.0,53.0,759.0,IT
2020-06-08,280.0,27112.0,65.0,747.0,IT
2020-06-09,283.0,55003.0,79.0,2062.0,IT
2020-06-10,202.0,62699.0,71.0,1293.0,IT
2020-06-11,379.0,62472.0,53.0,1399.0,IT
2020-06-12,163.0,70620.0,56.0,1747.0,IT
2020-06-13,346.0,49750.0,78.0,1780.0,IT
2020-06-14,338.0,56527.0,44.0,1505.0,IT
2020-06-15,301.0,28107.0,26.0,640.0,IT
2020-06-16,210.0,46882.0,34.0,1516.0,IT
2020-06-17,328.0,77701.0,43.0,929.0,IT
2020-06-18,331.0,58154.0,66.0,1089.0,IT
2020-06-19,-148.0,57541.0,47.0,1363.0,IT
2020-06-20,264.0,54722.0,49.0,546.0,IT
2020-06-21,224.0,40545.0,24.0,440.0,IT
2020-06-22,221.0,28972.0,23.0,533.0,IT
2020-06-23,113.0,40485.0,18.0,1159.0,IT
2020-06-24,577.0,53266.0,-31.0,1526.0,IT
2020-06-25,296.0,56061.0,34.0,614.0,IT
2020-06-26,255.0,52768.0,30.0,890.0,IT
2020-06-27,175.0,61351.0,8.0,969.0,IT
2020-06-28,174.0,37346.0,22.0,307.0,IT
2020-06-29,126.0,27218.0,6.0,305.0,IT
2020-06-30,142.0,48273.0,23.0,1052.0,IT
2020-07-01,182.0,55366.0,21.0,469.0,IT
2020-07-02,201.0,53243.0,30.0,366.0,IT
2020-07-03,223.0,50096.0,15.0,384.0,IT
2020-07-04,235.0,52011.0,21.0,477.0,IT
2020-07-05,192.0,37462.0,7.0,164.0,IT
2020-07-06,208.0,22166.0,8.0,133.0,IT
2020-07-07,137.0,43219.0,30.0,574.0,IT
2020-07-08,193.0,50443.0,15.0,825.0,IT
2020-07-09,214.0,52552.0,12.0,338.0,IT
2020-07-10,276.0,47953.0,12.0,295.0,IT
2020-07-11,188.0,45931.0,7.0,306.0,IT
2020-07-12,234.0,38259.0,9.0,349.0,IT
2020-07-13,169.0,23933.0,13.0,178.0,IT
2020-07-14,114.0,41867.0,17.0,335.0,IT
2020-07-15,162.0,48449.0,13.0,575.0,IT
2020-07-16,230.0,50432.0,20.0,230.0,IT
2020-07-17,231.0,50767.0,11.0,237.0,IT
2020-07-18,249.0,48265.0,14.0,323.0,IT
2020-07-19,218.0,35525.0,3.0,143.0,IT
2020-07-20,190.0,24253.0,13.0,213.0,IT
2020-07-21,128.0,43110.0,15.0,269.0,IT
2020-07-22,280.0,49318.0,9.0,197.0,IT
2020-07-23,306.0,60311.0,10.0,214.0,IT
2020-07-24,252.0,53334.0,5.0,350.0,IT
2020-07-25,274.0,51671.0,5.0,128.0,IT
2020-07-26,254.0,40526.0,5.0,126.0,IT
2020-07-27,168.0,25551.0,5.0,147.0,IT
2020-07-28,202.0,48170.0,11.0,163.0,IT
2020-07-29,288.0,56018.0,6.0,275.0,IT
2020-07-30,382.0,61858.0,3.0,765.0,IT
2020-07-31,379.0,60944.0,9.0,178.0,IT
2020-08-01,295.0,60383.0,5.0,255.0,IT
2020-08-02,238.0,43269.0,8.0,231.0,IT
2020-08-03,159.0,24036.0,12.0,129.0,IT
2020-08-04,190.0,43788.0,5.0,177.0,IT
2020-08-05,384.0,56451.0,10.0,210.0,IT
2020-08-06,401.0,58673.0,6.0,347.0,IT
2020-08-07,552.0,59196.0,3.0,319.0,IT
2020-08-08,347.0,53298.0,13.0,305.0,IT
2020-08-09,463.0,37637.0,2.0,151.0,IT
2020-08-10,259.0,26432.0,4.0,150.0,IT
2020-08-11,412.0,40642.0,6.0,213.0,IT
2020-08-12,476.0,52658.0,10.0,236.0,IT
2020-08-13,522.0,51188.0,6.0,226.0,IT
2020-08-14,574.0,46723.0,3.0,403.0,IT
2020-08-15,629.0,53123.0,158.0,314.0,IT
2020-08-16,477.0,36807.0,4.0,146.0,IT
2020-08-17,320.0,30666.0,4.0,182.0,IT
2020-08-18,401.0,53976.0,5.0,174.0,IT
2020-08-19,642.0,71095.0,7.0,364.0,IT
2020-08-20,840.0,77442.0,6.0,180.0,IT
2020-08-21,947.0,71996.0,9.0,274.0,IT
2020-08-22,1071.0,77674.0,3.0,243.0,IT
2020-08-23,1209.0,67371.0,7.0,267.0,IT
2020-08-24,953.0,45914.0,4.0,192.0,IT
2020-08-25,876.0,72341.0,4.0,353.0,IT
2020-08-26,1366.0,93529.0,13.0,314.0,IT
2020-08-27,1409.0,94024.0,5.0,225.0,IT
2020-08-28,1460.0,97065.0,9.0,348.0,IT
2020-08-29,1444.0,99108.0,1.0,322.0,IT
2020-08-30,1365.0,76723.0,4.0,312.0,IT
2020-08-31,996.0,58518.0,6.0,117.0,IT
2020-09-01,975.0,81050.0,8.0,291.0,IT
2020-09-02,1326.0,102959.0,6.0,257.0,IT
2020-09-03,1397.0,92790.0,10.0,289.0,IT
2020-09-04,1732.0,113085.0,11.0,537.0,IT
2020-09-05,1693.0,107658.0,15.0,583.0,IT
2020-09-06,1297.0,76856.0,8.0,405.0,IT
2020-09-07,1150.0,52553.0,12.0,223.0,IT
2020-09-08,1369.0,92403.0,10.0,563.0,IT
2020-09-09,1430.0,95990.0,14.0,471.0,IT
2020-09-10,1597.0,94186.0,10.0,613.0,IT
2020-09-11,1616.0,98880.0,10.0,547.0,IT
2020-09-12,1501.0,92706.0,6.0,759.0,IT
2020-09-13,1456.0,72143.0,7.0,443.0,IT
2020-09-14,1008.0,45309.0,14.0,316.0,IT
2020-09-15,1229.0,80517.0,9.0,695.0,IT
2020-09-16,1452.0,100607.0,12.0,620.0,IT
2020-09-17,1583.0,101773.0,13.0,689.0,IT
2020-09-18,1907.0,99839.0,10.0,853.0,IT
2020-09-19,1637.0,103223.0,24.0,909.0,IT
2020-09-20,1587.0,83428.0,15.0,635.0,IT
2020-09-21,1350.0,55862.0,17.0,352.0,IT
2020-09-22,1391.0,87303.0,14.0,967.0,IT
2020-09-23,1640.0,103696.0,20.0,995.0,IT
2020-09-24,1786.0,108019.0,23.0,1097.0,IT
2020-09-25,1912.0,107269.0,20.0,954.0,IT
2020-09-26,1869.0,104387.0,17.0,977.0,IT
2020-09-27,1766.0,87714.0,17.0,724.0,IT
2020-09-28,1494.0,51109.0,16.0,773.0,IT
