date,confirmed,deaths,recovered,week,tests,region
2020-03-03,0,0,0,9,25.0,PL
2020-03-04,1,0,0,9,92.0,PL
2020-03-05,0,0,0,9,179.0,PL
2020-03-06,4,0,0,9,0.0,PL
2020-03-07,1,0,0,9,299.0,PL
2020-03-08,5,0,0,9,230.0,PL
2020-03-09,6,0,0,10,246.0,PL
2020-03-10,5,0,0,10,394.0,PL
2020-03-11,9,0,0,10,210.0,PL
2020-03-12,20,1,0,10,655.0,PL
2020-03-13,17,1,0,10,1525.0,PL
2020-03-14,36,1,0,10,1079.0,PL
2020-03-15,21,0,0,10,0.0,PL
2020-03-16,52,1,0,11,2406.0,PL
2020-03-17,61,1,1,11,1616.0,PL
2020-03-18,49,0,0,11,1681.0,PL
2020-03-19,68,0,0,11,1876.0,PL
2020-03-20,70,0,0,11,2012.0,PL
2020-03-21,111,0,0,11,2523.0,PL
2020-03-22,98,2,0,11,2520.0,PL
2020-03-23,115,1,0,12,2771.0,PL
2020-03-24,152,2,0,12,3346.0,PL
2020-03-25,150,3,0,12,3320.0,PL
2020-03-26,170,3,0,12,4503.0,PL
2020-03-27,168,0,0,12,4607.0,PL
2020-03-28,249,2,0,12,4109.0,PL
2020-03-29,224,4,0,12,3824.0,PL
2020-03-30,193,9,0,13,4812.0,PL
2020-03-31,256,2,0,13,4382.0,PL
2020-04-01,243,10,0,13,5377.0,PL
2020-04-02,392,14,0,13,5760.0,PL
2020-04-03,437,14,0,13,5963.0,PL
2020-04-04,244,8,115,13,7856.0,PL
2020-04-05,475,15,18,13,4710.0,PL
2020-04-06,311,13,28,14,6748.0,PL
2020-04-07,435,22,29,14,7069.0,PL
2020-04-08,357,29,31,14,8313.0,PL
2020-04-09,370,16,62,14,10698.0,PL
2020-04-10,380,7,34,14,11265.0,PL
2020-04-11,401,27,57,14,8447.0,PL
2020-04-12,318,24,64,14,5623.0,PL
2020-04-13,258,13,48,15,4691.0,PL
2020-04-14,270,18,131,15,8172.0,PL
2020-04-15,380,23,50,15,12578.0,PL
2020-04-16,336,28,106,15,10583.0,PL
2020-04-17,457,18,92,15,13306.0,PL
2020-04-18,334,15,115,15,11286.0,PL
2020-04-19,515,13,59,15,9990.0,PL
2020-04-20,306,20,93,16,10119.0,PL
2020-04-21,263,20,164,16,14444.0,PL
2020-04-22,313,25,216,16,11920.0,PL
2020-04-23,342,28,227,16,14482.0,PL
2020-04-24,381,40,204,16,13793.0,PL
2020-04-25,381,30,182,16,11639.0,PL
2020-04-26,344,12,139,16,7226.0,PL
2020-04-27,285,26,201,17,12885.0,PL
2020-04-28,316,34,189,17,13783.0,PL
2020-04-29,422,28,370,17,13500.0,PL
2020-04-30,300,20,211,17,16601.0,PL
2020-05-01,228,7,255,17,11385.0,PL
2020-05-02,270,12,271,17,9935.0,PL
2020-05-03,318,15,183,17,7856.0,PL
2020-05-04,313,19,150,18,10466.0,PL
2020-05-05,406,19,185,18,16198.0,PL
2020-05-06,311,18,375,18,15526.0,PL
