date,week,region,deaths,tests
2020-05-18,21,PL22,1.0,13456.0
2020-05-18,21,PL51,2.0,11851.0
2020-05-18,21,PL61,1.0,8463.0
2020-05-18,21,PL72,1.0,9057.0
2020-05-18,21,PL82,4.0,2182.0
2020-05-18,21,PL9,2.0,33486.0
2020-05-19,21,PL22,2.0,0.0
2020-05-19,21,PL51,2.0,0.0
2020-05-19,21,PL52,2.0,0.0
2020-05-19,21,PL63,1.0,0.0
2020-05-19,21,PL71,1.0,0.0
2020-05-19,21,PL72,1.0,0.0
2020-05-19,21,PL9,3.0,0.0
2020-05-20,21,PL22,2.0,0.0
2020-05-20,21,PL41,1.0,0.0
2020-05-20,21,PL51,1.0,0.0
2020-05-20,21,PL52,2.0,0.0
2020-05-20,21,PL71,2.0,0.0
2020-05-20,21,PL72,1.0,0.0
2020-05-20,21,PL9,5.0,0.0
2020-05-21,21,PL22,4.0,0.0
2020-05-21,21,PL41,1.0,0.0
2020-05-21,21,PL51,1.0,0.0
2020-05-21,21,PL81,1.0,0.0
2020-05-21,21,PL9,3.0,0.0
2020-05-22,21,PL22,1.0,0.0
2020-05-22,21,PL42,1.0,0.0
2020-05-22,21,PL51,2.0,0.0
2020-05-22,21,PL52,1.0,0.0
2020-05-22,21,PL61,1.0,0.0
2020-05-22,21,PL82,2.0,0.0
2020-05-22,21,PL9,2.0,0.0
2020-05-23,21,PL22,2.0,0.0
2020-05-23,21,PL63,1.0,0.0
2020-05-23,21,PL71,7.0,0.0
2020-05-23,21,PL82,1.0,0.0
2020-05-24,21,PL22,2.0,0.0
2020-05-24,21,PL52,1.0,0.0
2020-05-25,22,PL22,1.0,13158.0
2020-05-25,22,PL41,1.0,20659.0
2020-05-25,22,PL51,2.0,12303.0
2020-05-25,22,PL61,1.0,9257.0
2020-05-25,22,PL9,6.0,32787.0
2020-05-26,22,PL22,2.0,0.0
2020-05-26,22,PL41,1.0,0.0
2020-05-26,22,PL51,3.0,0.0
2020-05-26,22,PL52,2.0,0.0
2020-05-26,22,PL63,2.0,0.0
2020-05-26,22,PL71,3.0,0.0
2020-05-26,22,PL72,1.0,0.0
2020-05-26,22,PL9,3.0,0.0
2020-05-27,22,PL22,1.0,0.0
2020-05-27,22,PL63,1.0,0.0
2020-05-27,22,PL71,2.0,0.0
2020-05-28,22,PL22,5.0,0.0
2020-05-28,22,PL41,1.0,0.0
2020-05-28,22,PL51,1.0,0.0
2020-05-28,22,PL82,1.0,0.0
2020-05-28,22,PL9,1.0,0.0
2020-05-29,22,PL22,3.0,0.0
2020-05-29,22,PL41,2.0,0.0
2020-05-29,22,PL63,1.0,0.0
2020-05-29,22,PL71,1.0,0.0
