year,week,deaths,confirmed,tests,region,date
2020,8,0.0,0.0,752.0,SE,2020-02-24
2020,9,0.0,13.0,4302.0,SE,2020-03-02
2020,10,0.0,211.0,8990.0,SE,2020-03-09
2020,11,5.0,838.0,10404.0,SE,2020-03-16
2020,12,44.0,924.0,12349.0,SE,2020-03-23
2020,13,190.0,1957.0,17776.0,SE,2020-03-30
2020,14,451.0,3229.0,19880.0,SE,2020-04-06
2020,15,664.0,3740.0,20041.0,SE,2020-04-13
2020,16,657.0,3752.0,24288.0,SE,2020-04-20
2020,17,546.0,4203.0,28997.0,SE,2020-04-27
2020,18,543.0,3832.0,28988.0,SE,2020-05-04
2020,19,509.0,4153.0,32665.0,SE,2020-05-11
2020,20,380.0,3869.0,28796.0,SE,2020-05-18
2020,21,360.0,3659.0,36466.0,SE,2020-05-25
2020,22,272.0,4280.0,49162.0,SE,2020-06-01
2020,23,246.0,6021.0,60678.0,SE,2020-06-08
2020,24,234.0,7123.0,61803.0,SE,2020-06-15
2020,25,200.0,7073.0,75171.0,SE,2020-06-22
2020,26,138.0,7455.0,77643.0,SE,2020-06-29
2020,27,98.0,4279.0,81801.0,SE,2020-07-06
2020,28,84.0,2179.0,69393.0,SE,2020-07-13
2020,29,57.0,1622.0,59143.0,SE,2020-07-20
2020,30,30.0,1316.0,52959.0,SE,2020-07-27
2020,31,18.0,1556.0,53721.0,SE,2020-08-03
2020,32,18.0,2014.0,56487.0,SE,2020-08-10
2020,33,16.0,2052.0,65546.0,SE,2020-08-17
2020,34,19.0,1687.0,85060.0,SE,2020-08-24
2020,35,10.0,1200.0,126219.0,SE,2020-08-31
2020,36,12.0,1332.0,142673.0,SE,2020-09-07
2020,37,13.0,1592.0,139471.0,SE,2020-09-14
2020,38,12.0,2080.0,128852.0,SE,2020-09-21
2020,39,11.0,2919.0,127916.0,SE,2020-09-28
2020,40,17.0,3642.0,137108.0,SE,2020-10-05
2020,41,22.0,4278.0,148267.0,SE,2020-10-12
2020,42,16.0,5620.0,164742.0,SE,2020-10-19
2020,43,43.0,9155.0,189301.0,SE,2020-10-26
2020,44,82.0,18474.0,228023.0,SE,2020-11-02
2020,45,157.0,25405.0,254295.0,SE,2020-11-09
2020,46,235.0,31319.0,260710.0,SE,2020-11-16
2020,47,332.0,31944.0,275712.0,SE,2020-11-23
2020,48,417.0,35560.0,261229.0,SE,2020-11-30
2020,49,476.0,36837.0,270944.0,SE,2020-12-07
2020,50,501.0,43631.0,299447.0,SE,2020-12-14
2020,51,645.0,46177.0,232114.0,SE,2020-12-21
2020,52,643.0,37134.0,198691.0,SE,2020-12-28
2021,1,663.0,41324.0,207432.0,SE,2021-01-04
2021,2,644.0,39459.0,200844.0,SE,2021-01-11
2021,3,596.0,28948.0,193188.0,SE,2021-01-18
2021,4,513.0,23235.0,193400.0,SE,2021-01-25
2021,5,389.0,20666.0,197551.0,SE,2021-02-01
2021,6,268.0,19609.0,209362.0,SE,2021-02-08
2021,7,204.0,21287.0,222512.0,SE,2021-02-15
2021,8,172.0,23619.0,238618.0,SE,2021-02-22
2021,9,143.0,26694.0,249015.0,SE,2021-03-01
2021,10,128.0,27758.0,270763.0,SE,2021-03-08
2021,11,135.0,28567.0,303385.0,SE,2021-03-15
