year,week,region,deaths,confirmed,tests,date
2020,16,SE221,0.0,1.0,0.0,2020-04-20
2020,16,SE322,9.0,81.0,3.0,2020-04-20
2020,16,SE211,13.0,153.0,0.0,2020-04-20
2020,16,SE213,3.0,28.0,6.0,2020-04-20
2020,16,SE212,8.0,75.0,0.0,2020-04-20
2020,16,SE332,11.0,55.0,1.0,2020-04-20
2020,16,SE224,25.0,100.0,31.0,2020-04-20
2020,16,SE214,0.0,3.0,2.0,2020-04-20
2020,16,SE110,316.0,1409.0,11.0,2020-04-20
2020,16,SE121,24.0,200.0,16.0,2020-04-20
2020,16,SE331,5.0,56.0,8.0,2020-04-20
2020,16,SE312,24.0,138.0,1.0,2020-04-20
2020,16,SE125,46.0,165.0,9.0,2020-04-20
2020,16,SE232,71.0,421.0,26.0,2020-04-20
2020,16,SE123,30.0,201.0,18.0,2020-04-20
2020,16,SE231,10.0,52.0,7.0,2020-04-20
2020,17,SE232,65.0,611.0,53.0,2020-04-27
2020,17,SE312,23.0,198.0,1.0,2020-04-27
2020,17,SE125,18.0,171.0,16.0,2020-04-27
2020,17,SE224,12.0,131.0,42.0,2020-04-27
2020,17,SE332,6.0,41.0,1.0,2020-04-27
2020,17,SE212,8.0,88.0,2.0,2020-04-27
2020,17,SE231,5.0,88.0,7.0,2020-04-27
2020,17,SE214,0.0,12.0,4.0,2020-04-27
2020,17,SE213,4.0,43.0,14.0,2020-04-27
2020,17,SE121,19.0,212.0,17.0,2020-04-27
2020,17,SE110,264.0,1430.0,21.0,2020-04-27
2020,17,SE123,29.0,186.0,9.0,2020-04-27
2020,17,SE322,1.0,63.0,9.0,2020-04-27
2020,17,SE221,0.0,21.0,0.0,2020-04-27
2020,17,SE211,17.0,182.0,2.0,2020-04-27
2020,17,SE331,3.0,59.0,9.0,2020-04-27
2020,18,SE211,23.0,160.0,5.0,2020-05-04
2020,18,SE231,8.0,58.0,5.0,2020-05-04
2020,18,SE312,17.0,115.0,4.0,2020-05-04
2020,18,SE224,23.0,181.0,20.0,2020-05-04
2020,18,SE123,26.0,133.0,21.0,2020-05-04
2020,18,SE125,14.0,120.0,27.0,2020-05-04
2020,18,SE110,237.0,1265.0,13.0,2020-05-04
2020,18,SE331,1.0,35.0,4.0,2020-05-04
2020,18,SE212,8.0,91.0,0.0,2020-05-04
2020,18,SE213,7.0,40.0,7.0,2020-05-04
2020,18,SE322,4.0,81.0,2.0,2020-05-04
2020,18,SE232,77.0,623.0,34.0,2020-05-04
2020,18,SE221,0.0,10.0,0.0,2020-05-04
2020,18,SE121,27.0,188.0,14.0,2020-05-04
