region,population
CZ,10693939.0
IT,59641488.0
PL,37958138.0
SE,10327589.0
CZ010,1324277.0
CZ020,1385141.0
CZ031,644083.0
CZ032,589899.0
CZ041,294664.0
CZ042,820965.0
CZ051,443690.0
CZ052,551647.0
CZ053,522662.0
CZ063,509813.0
CZ064,1191989.0
CZ071,632015.0
CZ072,582555.0
CZ080,1200539.0
ITC1,4311217.0
ITC2,125034.0
ITC3,1524826.0
ITC4,10027602.0
ITF1,1293941.0
ITF2,300516.0
ITF3,5712143.0
ITF4,3953305.0
ITF5,553254.0
ITF6,1894110.0
ITG1,4875290.0
ITG2,1611621.0
ITH10,532644.0
ITH20,545425.0
ITH3,4879133.0
ITH4,1206216.0
ITH5,4464119.0
ITI1,3692555.0
ITI2,870165.0
ITI3,1512672.0
ITI4,5755700.0
PL2,7847416.0
PL21,3371956.0
PL22,4475460.0
PL4,6152541.0
PL41,3479525.0
PL42,1671605.0
PL43,1001411.0
PL5,3807042.0
PL51,2864809.0
PL52,942233.0
PL6,5766149.0
PL61,2050976.0
PL62,1399038.0
PL63,2316135.0
PL7,3661428.0
PL71,2442685.0
PL72,1218743.0
PL8,5322128.0
PL81,2088292.0
PL82,2084447.0
PL84,1149389.0
PL9,5401434.0
SE110,2377081.0
SE121,383713.0
SE122,297540.0
SE123,465495.0
SE124,304805.0
SE125,275845.0
SE211,363599.0
SE212,201469.0
SE213,245446.0
SE214,59686.0
SE221,159606.0
SE224,1377827.0
SE231,333848.0
SE232,1725881.0
SE311,282414.0
SE312,287966.0
SE313,287382.0
SE321,245347.0
SE322,130810.0
SE331,271736.0
SE332,250093.0
